#P I Flux Inorm
0 14211 0 0
1 14185 0 0
2 14711 0 0
3 14680 0 0
4 15486 0 0
5 15900 0 0
6 16290 0 0
7 16503 0 0
8 16875 0 0
9 17544 0 0
10 17801 0 0
11 18755 0 0
12 18452 0 0
13 19624 0 0
14 19347 0 0
15 20499 0 0
16 20724 0 0
17 22070 0 0
18 22419 0 0
19 23951 0 0
20 24949 0 0
21 26132 0 0
22 27052 0 0
23 27589 0 0
24 28459 0 0
25 29527 0 0
26 29792 0 0
27 31037 0 0
28 31632 0 0
29 32928 0 0
30 34660 0 0
31 35726 0 0
32 38231 0 0
33 41140 0 0
34 45829 0 0
35 51847 0 0
36 56079 0 0
37 61710 0 0
38 63480 0 0
39 68227 0 0
40 73857 0 0
41 84448 0 0
42 96819 0 0
43 107394 0 0
44 111166 0 0
45 120083 0 0
46 123060 0 0
47 118965 0 0
48 124916 0 0
49 138136 0 0
50 147552 0 0
51 157413 0 0
52 168910 0 0
53 177067 0 0
54 197505 0 0
55 230815 0 0
56 282021 0 0
57 311863 0 0
58 334585 0 0
59 358762 0 0
60 418672 0 0
61 463299 0 0
62 556875 0 0
63 696436 0 0
64 772407 0 0
65 849946 0 0
66 992782 0 0
67 1.16948e+06 0 0
68 1.18775e+06 0 0
69 1.21855e+06 0 0
70 1.41907e+06 0 0
71 1.54682e+06 0 0
72 1.57509e+06 0 0
73 1.53694e+06 0 0
74 1.37588e+06 0 0
75 1.31282e+06 0 0
76 1.16894e+06 0 0
77 1.1079e+06 0 0
78 1.05732e+06 0 0
79 1.07455e+06 0 0
80 1.0366e+06 0 0
81 964906 0 0
82 922038 0 0
83 925277 0 0
84 720372 0 0
85 509313 0 0
86 496618 0 0
87 480815 0 0
88 390723 0 0
89 297101 0 0
90 237218 0 0
91 198810 0 0
92 176021 0 0
93 157159 0 0
94 141401 0 0
95 130243 0 0
96 116621 0 0
97 110671 0 0
98 98829 0 0
99 94502 0 0
100 85781 0 0
101 82827 0 0
102 76235 0 0
103 75682 0 0
104 71095 0 0
105 71714 0 0
106 67673 0 0
107 68872 0 0
108 66342 0 0
109 67224 0 0
110 64347 0 0
111 63672 0 0
112 61777 0 0
113 58408 0 0
114 55407 0 0
115 52060 0 0
116 51256 0 0
117 48007 0 0
118 47224 0 0
119 44059 0 0
120 43630 0 0
121 41578 0 0
122 41760 0 0
123 39014 0 0
124 38255 0 0
125 35776 0 0
126 35913 0 0
127 33821 0 0
128 33413 0 0
129 32070 0 0
130 31618 0 0
131 30466 0 0
132 29821 0 0
133 28567 0 0
134 27661 0 0
135 27115 0 0
136 26056 0 0
137 26010 0 0
138 25070 0 0
139 25057 0 0
140 23892 0 0
141 23652 0 0
142 22596 0 0
143 22253 0 0
144 21383 0 0
145 21356 0 0
146 20170 0 0
147 20544 0 0
148 19569 0 0
149 19685 0 0
150 18751 0 0
151 19279 0 0
152 18812 0 0
153 18735 0 0
154 18299 0 0
155 17885 0 0
156 17581 0 0
157 17570 0 0
158 17677 0 0
159 17320 0 0
160 17505 0 0
161 17349 0 0
162 17630 0 0
163 17187 0 0
164 17351 0 0
165 16652 0 0
166 16889 0 0
167 15967 0 0
168 16813 0 0
169 15749 0 0
170 16271 0 0
171 15544 0 0
172 15867 0 0
173 14879 0 0
174 15117 0 0
175 14567 0 0
176 14655 0 0
177 13990 0 0
178 14164 0 0
179 13846 0 0
180 13553 0 0
181 13758 0 0
182 13298 0 0
183 13628 0 0
184 12989 0 0
185 13286 0 0
186 12775 0 0
187 12977 0 0
188 12216 0 0
189 12533 0 0
190 12161 0 0
191 12400 0 0
192 11948 0 0
193 12011 0 0
194 11773 0 0
195 11785 0 0
196 11420 0 0
197 11436 0 0
198 11444 0 0
199 11319 0 0
200 11049 0 0
201 10891 0 0
202 10863 0 0
203 10472 0 0
204 10411 0 0
205 10180 0 0
206 10039 0 0
207 9732 0 0
208 9808 0 0
209 9094 0 0
210 9525 0 0
211 9096 0 0
212 9139 0 0
213 8685 0 0
214 8931 0 0
215 8531 0 0
216 8517 0 0
217 8423 0 0
218 7953 0 0
219 7962 0 0
220 7839 0 0
221 7717 0 0
222 7582 0 0
223 7427 0 0
224 7238 0 0
225 7292 0 0
226 6923 0 0
227 7000 0 0
228 6639 0 0
229 6410 0 0
230 6352 0 0
231 6486 0 0
232 6309 0 0
233 6495 0 0
234 6094 0 0
235 6150 0 0
236 6045 0 0
237 6205 0 0
238 5957 0 0
239 5911 0 0
240 5712 0 0
241 5550 0 0
242 5629 0 0
243 5638 0 0
244 5484 0 0
245 5612 0 0
246 5499 0 0
247 5364 0 0
248 5531 0 0
249 5443 0 0
250 5321 0 0
251 5165 0 0
252 5186 0 0
253 4991 0 0
254 5138 0 0
255 4879 0 0
256 5100 0 0
257 4860 0 0
258 4846 0 0
259 4785 0 0
260 4709 0 0
261 4604 0 0
262 4542 0 0
263 4627 0 0
264 4458 0 0
265 4450 0 0
266 4358 0 0
267 4353 0 0
268 4160 0 0
269 4349 0 0
270 4103 0 0
271 4198 0 0
272 4064 0 0
273 4108 0 0
274 4055 0 0
275 3997 0 0
276 4000 0 0
277 4056 0 0
278 3959 0 0
279 3930 0 0
280 3880 0 0
281 3921 0 0
282 3833 0 0
283 3853 0 0
284 3825 0 0
285 3758 0 0
286 3693 0 0
287 3723 0 0
288 3740 0 0
289 3585 0 0
290 3647 0 0
291 3415 0 0
292 3718 0 0
293 3454 0 0
294 3577 0 0
295 3416 0 0
296 3404 0 0
297 3499 0 0
298 3448 0 0
299 3374 0 0
300 3395 0 0
301 3250 0 0
302 3414 0 0
303 3253 0 0
304 3311 0 0
305 3325 0 0
306 3287 0 0
307 3191 0 0
308 3278 0 0
309 3218 0 0
310 3259 0 0
311 3156 0 0
312 3158 0 0
313 3078 0 0
314 3178 0 0
315 3175 0 0
316 3133 0 0
317 3153 0 0
318 3123 0 0
319 3130 0 0
320 2984 0 0
321 3156 0 0
322 3196 0 0
323 3148 0 0
324 3029 0 0
325 3118 0 0
326 2824 0 0
327 2991 0 0
328 2879 0 0
329 2900 0 0
330 2987 0 0
331 2949 0 0
332 2844 0 0
333 2752 0 0
334 2843 0 0
335 2866 0 0
336 2747 0 0
337 2720 0 0
338 2672 0 0
339 2819 0 0
340 2807 0 0
341 2744 0 0
342 2699 0 0
343 2636 0 0
344 2663 0 0
345 2631 0 0
346 2645 0 0
347 2553 0 0
348 2656 0 0
349 2613 0 0
350 2667 0 0
351 2590 0 0
352 2699 0 0
353 2517 0 0
354 2603 0 0
355 2521 0 0
356 2550 0 0
357 2584 0 0
358 2459 0 0
359 2528 0 0
360 2500 0 0
361 2460 0 0
362 2467 0 0
363 2385 0 0
364 2413 0 0
365 2425 0 0
366 2434 0 0
367 2515 0 0
368 2358 0 0
369 2368 0 0
370 2369 0 0
371 2397 0 0
372 2395 0 0
373 2413 0 0
374 2400 0 0
375 2386 0 0
376 2283 0 0
377 2323 0 0
378 2299 0 0
379 2307 0 0
380 2243 0 0
381 2188 0 0
382 2269 0 0
383 2281 0 0
384 2293 0 0
385 2297 0 0
386 2220 0 0
387 2248 0 0
388 2198 0 0
389 2216 0 0
390 2146 0 0
391 2167 0 0
392 2175 0 0
393 2205 0 0
394 2099 0 0
395 2198 0 0
396 2137 0 0
397 2126 0 0
398 2101 0 0
399 2164 0 0
400 2105 0 0
401 2154 0 0
402 2081 0 0
403 2185 0 0
404 2075 0 0
405 2062 0 0
406 2120 0 0
407 2106 0 0
408 2120 0 0
409 2075 0 0
410 2065 0 0
411 2057 0 0
412 2046 0 0
413 2057 0 0
