#P I Flux Inorm
0 16395 0 0
1 17308 0 0
2 17580 0 0
3 17717 0 0
4 18497 0 0
5 18915 0 0
6 19742 0 0
7 20298 0 0
8 20595 0 0
9 21021 0 0
10 22475 0 0
11 23111 0 0
12 24520 0 0
13 25041 0 0
14 25956 0 0
15 25734 0 0
16 26823 0 0
17 28028 0 0
18 29254 0 0
19 32267 0 0
20 33777 0 0
21 38380 0 0
22 40026 0 0
23 44260 0 0
24 46584 0 0
25 52476 0 0
26 56868 0 0
27 65040 0 0
28 68474 0 0
29 70546 0 0
30 75134 0 0
31 73167 0 0
32 73532 0 0
33 70345 0 0
34 68816 0 0
35 60122 0 0
36 58410 0 0
37 57032 0 0
38 58281 0 0
39 58487 0 0
40 59064 0 0
41 60776 0 0
42 61048 0 0
43 64315 0 0
44 69626 0 0
45 73349 0 0
46 75336 0 0
47 83962 0 0
48 94721 0 0
49 108714 0 0
50 132394 0 0
51 161000 0 0
52 197949 0 0
53 246239 0 0
54 292763 0 0
55 323657 0 0
56 346530 0 0
57 346544 0 0
58 385079 0 0
59 395544 0 0
60 421238 0 0
61 451642 0 0
62 481522 0 0
63 502031 0 0
64 516562 0 0
65 594208 0 0
66 685169 0 0
67 888741 0 0
68 1.15136e+06 0 0
69 1.38319e+06 0 0
70 1.44951e+06 0 0
71 1.37318e+06 0 0
72 1.4203e+06 0 0
73 1.68058e+06 0 0
74 2.00195e+06 0 0
75 2.14288e+06 0 0
76 1.83517e+06 0 0
77 1.54115e+06 0 0
78 1.33814e+06 0 0
79 1.00074e+06 0 0
80 692740 0 0
81 467862 0 0
82 370330 0 0
83 296863 0 0
84 258332 0 0
85 228443 0 0
86 187191 0 0
87 148595 0 0
88 134280 0 0
89 128379 0 0
90 126022 0 0
91 132885 0 0
92 142808 0 0
93 159980 0 0
94 158539 0 0
95 144697 0 0
96 144853 0 0
97 138683 0 0
98 126602 0 0
99 106302 0 0
100 96059 0 0
101 87083 0 0
102 84165 0 0
103 80928 0 0
104 79903 0 0
105 72665 0 0
106 67506 0 0
107 62640 0 0
108 59618 0 0
109 53460 0 0
110 49555 0 0
111 44463 0 0
112 42666 0 0
113 38073 0 0
114 37861 0 0
115 33824 0 0
116 33915 0 0
117 31477 0 0
118 31051 0 0
119 29799 0 0
120 29413 0 0
121 29313 0 0
122 27550 0 0
123 28022 0 0
124 25682 0 0
125 26723 0 0
126 24328 0 0
127 25138 0 0
128 23002 0 0
129 23824 0 0
130 22405 0 0
131 22561 0 0
132 21619 0 0
133 21421 0 0
134 20946 0 0
135 20246 0 0
136 20510 0 0
137 19705 0 0
138 19603 0 0
139 18612 0 0
140 19104 0 0
141 17669 0 0
142 17795 0 0
143 16944 0 0
144 17084 0 0
145 16043 0 0
146 16262 0 0
147 15553 0 0
148 15285 0 0
149 14909 0 0
150 14877 0 0
151 14390 0 0
152 14204 0 0
153 14153 0 0
154 13712 0 0
155 13677 0 0
156 13112 0 0
157 13302 0 0
158 12620 0 0
159 12589 0 0
160 11932 0 0
161 12299 0 0
162 11618 0 0
163 11932 0 0
164 11000 0 0
165 11176 0 0
166 10779 0 0
167 10483 0 0
168 10425 0 0
169 9960 0 0
170 10123 0 0
171 9612 0 0
172 9649 0 0
173 9058 0 0
174 9322 0 0
175 8666 0 0
176 8852 0 0
177 8540 0 0
178 8531 0 0
179 8195 0 0
180 8018 0 0
181 7906 0 0
182 7606 0 0
183 7564 0 0
184 7402 0 0
185 7544 0 0
186 7137 0 0
187 7116 0 0
188 6920 0 0
189 6861 0 0
190 6750 0 0
191 6754 0 0
192 6740 0 0
193 6634 0 0
194 6494 0 0
195 6299 0 0
196 6337 0 0
197 6319 0 0
198 6327 0 0
199 6208 0 0
200 6181 0 0
201 5924 0 0
202 6029 0 0
203 5662 0 0
204 5930 0 0
205 5704 0 0
206 5713 0 0
207 5473 0 0
208 5521 0 0
209 5448 0 0
210 5429 0 0
211 5310 0 0
212 5412 0 0
213 5305 0 0
214 5116 0 0
215 5268 0 0
216 4971 0 0
217 4970 0 0
218 4906 0 0
219 4787 0 0
220 4738 0 0
221 4608 0 0
222 4637 0 0
223 4656 0 0
224 4488 0 0
225 4447 0 0
226 4259 0 0
227 4283 0 0
228 4259 0 0
229 4158 0 0
230 4241 0 0
231 4208 0 0
232 4105 0 0
233 4144 0 0
234 4066 0 0
235 4074 0 0
236 4069 0 0
237 3963 0 0
238 3994 0 0
239 3970 0 0
240 3878 0 0
241 3793 0 0
242 3896 0 0
243 3795 0 0
244 3686 0 0
245 3775 0 0
246 3734 0 0
247 3719 0 0
248 3585 0 0
249 3630 0 0
250 3574 0 0
251 3348 0 0
252 3414 0 0
253 3530 0 0
254 3466 0 0
255 3423 0 0
256 3300 0 0
257 3307 0 0
258 3512 0 0
259 3427 0 0
260 3279 0 0
261 3232 0 0
262 3270 0 0
263 3265 0 0
264 3119 0 0
265 3115 0 0
266 3199 0 0
267 3104 0 0
268 3230 0 0
269 3101 0 0
270 3025 0 0
271 3015 0 0
272 3059 0 0
273 3062 0 0
274 3007 0 0
275 3067 0 0
276 2943 0 0
277 2926 0 0
278 2932 0 0
279 2896 0 0
280 2807 0 0
281 2881 0 0
282 2838 0 0
283 2903 0 0
284 2822 0 0
285 2784 0 0
286 2720 0 0
287 2788 0 0
288 2842 0 0
289 2673 0 0
290 2703 0 0
291 2690 0 0
292 2752 0 0
293 2809 0 0
