# T1(K)    T2(K)
2.971709999999999923e+02 2.971340000000000146e+02
2.971259999999999764e+02 2.816890000000000214e+02
2.966990000000000123e+02 2.732130000000000223e+02
2.963240000000000123e+02 2.689279999999999973e+02
2.956019999999999754e+02 2.630529999999999973e+02
2.936080000000000041e+02 2.523110000000000070e+02
2.904730000000000132e+02 2.408830000000000098e+02
2.863229999999999791e+02 2.294420000000000073e+02
2.831360000000000241e+02 2.218629999999999995e+02
2.709560000000000173e+02 1.976030000000000086e+02
2.478259999999999934e+02 1.628120000000000118e+02
2.599870000000000232e+02 1.799300000000000068e+02
2.576510000000000105e+02 1.764579999999999984e+02
2.551479999999999961e+02 1.728640000000000043e+02
2.520029999999999859e+02 1.684830000000000041e+02
2.478259999999999934e+02 1.628120000000000118e+02
2.448720000000000141e+02 1.589019999999999868e+02
2.404730000000000132e+02 1.533449999999999989e+02
2.381800000000000068e+02 1.505159999999999911e+02
2.348679999999999950e+02 1.465370000000000061e+02
2.289970000000000141e+02 1.396920000000000073e+02
2.256860000000000070e+02 1.359910000000000139e+02
2.182909999999999968e+02 1.280349999999999966e+02
2.087659999999999911e+02 1.183709999999999951e+02
2.049749999999999943e+02 1.147189999999999941e+02
2.018799999999999955e+02 1.118329999999999984e+02
1.988149999999999977e+02 1.090169999999999959e+02
1.907110000000000127e+02 1.018139999999999930e+02
1.835029999999999859e+02 9.585399999999999920e+01
1.792769999999999868e+02 9.239900000000000091e+01
1.740229999999999961e+02 8.838100000000000023e+01
1.685380000000000109e+02 8.428100000000000591e+01
1.639139999999999873e+02 8.104699999999999704e+01
1.605089999999999861e+02 7.870199999999999818e+01
1.567429999999999950e+02 7.627400000000000091e+01
1.488789999999999907e+02 7.131100000000000705e+01
1.424329999999999927e+02 6.775799999999999557e+01
1.350279999999999916e+02 6.381199999999999761e+01
1.234899999999999949e+02 5.859700000000000131e+01
1.108110000000000070e+02 5.359400000000000119e+01
9.568099999999999739e+01 4.860099999999999909e+01
8.676099999999999568e+01 4.582800000000000296e+01
7.103100000000000591e+01 4.138000000000000256e+01
4.794200000000000017e+01 3.350800000000000267e+01
2.957900000000000063e+01 2.490500000000000114e+01
1.835699999999999932e+01 1.493800000000000061e+01
1.619300000000000139e+01 1.462199999999999989e+01
1.559999999999999964e+01 1.372899999999999920e+01
