#pumped_RT_before_cooling_6.8GPa.dat.txt
#Mon, Mar 6, 2023, 3:02 PM
#WL (nm), Int (cts)
674.996352,26.331818
675.091533,26.477273
675.186688,26.440909
675.281816,26.568182
675.376916,26.259091
675.471990,26.222727
675.567037,26.513636
675.662057,26.640909
675.757051,26.222727
675.852017,26.095455
675.946956,26.386364
676.041869,26.186364
676.136754,26.168182
676.231613,25.840909
676.326444,25.550000
676.421249,25.768182
676.516027,26.040909
676.610778,26.077273
676.705502,26.040909
676.800199,26.059091
676.894869,26.386364
676.989513,26.131818
677.084129,26.422727
677.178718,26.368182
677.273281,26.331818
677.367816,26.731818
677.462325,26.750000
677.556807,26.931818
677.651261,27.059091
677.745689,27.313636
677.840090,27.804545
677.934464,27.822727
678.028811,27.895455
678.123131,27.931818
678.217424,27.859091
678.311690,28.222727
678.405930,28.095455
678.500142,27.968182
678.594327,28.095455
678.688486,28.259091
678.782617,28.440909
678.876722,28.004545
678.970799,27.986364
679.064850,27.786364
679.158873,28.022727
679.252870,28.222727
679.346840,27.968182
679.440783,27.968182
679.534698,29.277273
679.628587,29.240909
679.722449,29.422727
679.816284,29.531818
679.910092,29.950000
680.003873,30.386364
680.097627,31.240909
680.191354,31.459091
680.285054,31.768182
680.378727,32.640909
680.472373,32.968182
680.565993,32.040909
680.659585,32.386364
680.753150,32.186364
680.846688,31.859091
680.940199,31.859091
681.033684,31.531818
681.127141,31.095455
681.220571,30.913636
681.313975,30.695455
681.407351,30.204545
681.500700,29.950000
681.594023,32.895455
681.687318,32.568182
681.780587,32.422727
681.873828,32.404545
681.967042,32.222727
682.060230,32.077273
682.153390,32.095455
682.246524,31.640909
682.339630,31.240909
682.432710,31.059091
682.525762,30.968182
682.618788,27.877273
682.711786,27.950000
682.804757,28.022727
682.897702,27.968182
682.990619,27.950000
683.083510,27.695455
683.176373,27.459091
683.269210,27.622727
683.362019,27.731818
683.454801,27.968182
683.547557,27.913636
683.640285,27.622727
683.732986,27.659091
683.825661,27.659091
683.918308,27.786364
684.010928,27.750000
684.103522,27.877273
684.196088,27.877273
684.288627,27.677273
684.381139,28.240909
684.473624,28.277273
684.566082,28.186364
684.658514,28.422727
684.750918,28.368182
684.843295,28.859091
684.935645,29.022727
685.027968,29.077273
685.120264,29.459091
685.212533,29.822727
685.304774,30.550000
685.396989,30.404545
685.489177,30.604545
685.581338,31.095455
685.673471,31.568182
685.765578,31.840909
685.857658,32.240909
685.949710,33.059091
686.041736,33.877273
686.133734,35.077273
686.225706,36.277273
686.317650,37.640909
686.409567,39.731818
686.501458,41.604545
686.593321,43.640909
686.685157,45.659091
686.776966,48.186364
686.868748,50.677273
686.960503,52.895455
687.052231,55.222727
687.143932,57.022727
687.235606,58.768182
687.327252,60.477273
687.418872,61.404545
687.510465,61.968182
687.602030,61.968182
687.693569,61.859091
687.785080,61.259091
687.876564,59.622727
687.968021,57.913636
688.059452,55.859091
688.150855,53.840909
688.242231,52.331818
688.333580,49.568182
688.424901,46.895455
688.516196,44.386364
688.607464,42.240909
688.698704,39.986364
688.789918,37.659091
688.881104,36.168182
688.972264,34.350000
689.063396,33.204545
689.154501,31.968182
689.245579,29.840909
689.336630,29.040909
689.427654,28.222727
689.518651,27.531818
689.609620,27.204545
689.700563,26.931818
689.791478,26.604545
689.882367,26.222727
689.973228,27.004545
690.064062,27.331818
690.154869,27.531818
690.245649,28.386364
690.336402,28.822727
690.427128,30.022727
690.517826,30.586364
690.608498,30.386364
690.699142,29.968182
690.789759,29.840909
690.880350,29.713636
690.970913,28.768182
691.061449,27.659091
691.151957,27.022727
691.242439,26.095455
691.332894,25.168182
691.423321,23.622727
