#13.85K_EuGa4_Mar08.jpg.txt
#Wed, Mar 8, 2023, 2:47 PM
#WL (nm), Int (cts)
674.996352,13.520455
675.091533,13.611364
675.186688,13.429545
675.281816,13.465909
675.376916,13.302273
675.471990,13.429545
675.567037,13.338636
675.662057,13.284091
675.757051,13.229545
675.852017,13.156818
675.946956,13.502273
676.041869,13.647727
676.136754,13.811364
676.231613,13.738636
676.326444,13.702273
676.421249,13.429545
676.516027,13.375000
676.610778,13.593182
676.705502,13.720455
676.800199,13.684091
676.894869,13.865909
676.989513,13.847727
677.084129,13.811364
677.178718,13.884091
677.273281,14.047727
677.367816,14.175000
677.462325,14.429545
677.556807,14.393182
677.651261,14.120455
677.745689,14.320455
677.840090,14.229545
677.934464,14.247727
678.028811,13.920455
678.123131,13.993182
678.217424,13.684091
678.311690,13.538636
678.405930,13.447727
678.500142,13.520455
678.594327,13.884091
678.688486,14.120455
678.782617,13.829545
678.876722,13.811364
678.970799,13.811364
679.064850,13.975000
679.158873,14.284091
679.252870,14.502273
679.346840,14.665909
679.440783,14.684091
679.534698,15.011364
679.628587,14.793182
679.722449,14.793182
679.816284,14.956818
679.910092,15.265909
680.003873,15.175000
680.097627,15.356818
680.191354,14.920455
680.285054,14.829545
680.378727,14.956818
680.472373,15.120455
680.565993,14.720455
680.659585,14.829545
680.753150,14.702273
680.846688,14.593182
680.940199,14.520455
681.033684,14.502273
681.127141,14.338636
681.220571,14.375000
681.313975,14.356818
681.407351,13.956818
681.500700,13.884091
681.594023,15.102273
681.687318,14.938636
681.780587,15.011364
681.873828,14.884091
681.967042,14.738636
682.060230,14.993182
682.153390,14.975000
682.246524,14.975000
682.339630,15.102273
682.432710,15.320455
682.525762,15.247727
682.618788,14.229545
682.711786,14.247727
682.804757,14.411364
682.897702,14.665909
682.990619,14.629545
683.083510,14.465909
683.176373,14.611364
683.269210,14.829545
683.362019,14.720455
683.454801,14.738636
683.547557,14.793182
683.640285,14.502273
683.732986,14.393182
683.825661,14.265909
683.918308,14.193182
684.010928,14.356818
684.103522,14.356818
684.196088,14.211364
684.288627,14.084091
684.381139,14.138636
