#15K_Base_Ruby_ZEROGPA.txt
#Wed, Mar 8, 2023, 3:57 PM
#WL (nm), Int (cts)
674.996352,144.555303
675.091533,144.937121
675.186688,145.555303
675.281816,146.118939
675.376916,146.518939
675.471990,146.955303
675.567037,146.973485
675.662057,147.246212
675.757051,146.918939
675.852017,146.700758
675.946956,146.282576
676.041869,145.900758
676.136754,145.100758
676.231613,144.591667
676.326444,143.882576
676.421249,143.446212
676.516027,142.864394
676.610778,142.918939
676.705502,142.900758
676.800199,142.737121
676.894869,142.573485
676.989513,142.718939
677.084129,142.937121
677.178718,143.518939
677.273281,143.064394
677.367816,143.446212
677.462325,143.737121
677.556807,144.209848
677.651261,144.428030
677.745689,144.718939
677.840090,144.846212
677.934464,144.864394
678.028811,144.173485
678.123131,144.318939
678.217424,143.809848
678.311690,143.991667
678.405930,144.028030
678.500142,143.955303
678.594327,143.973485
678.688486,143.864394
678.782617,143.918939
678.876722,143.955303
678.970799,144.482576
679.064850,145.318939
679.158873,145.537121
679.252870,145.973485
679.346840,145.882576
679.440783,145.300758
679.534698,145.828030
679.628587,145.828030
679.722449,145.682576
679.816284,145.591667
679.910092,145.209848
680.003873,144.882576
680.097627,145.391667
680.191354,144.973485
680.285054,144.464394
680.378727,145.482576
680.472373,145.646212
680.565993,145.100758
680.659585,145.464394
680.753150,145.773485
680.846688,145.337121
680.940199,145.846212
681.033684,145.518939
681.127141,144.646212
681.220571,144.573485
681.313975,144.609848
681.407351,143.791667
681.500700,143.573485
681.594023,147.300758
681.687318,146.628030
681.780587,145.755303
681.873828,145.518939
681.967042,144.682576
682.060230,144.991667
682.153390,144.846212
682.246524,144.464394
682.339630,144.209848
682.432710,144.118939
682.525762,144.282576
682.618788,140.464394
682.711786,140.628030
682.804757,141.246212
682.897702,141.100758
682.990619,141.664394
683.083510,141.337121
683.176373,141.373485
683.269210,141.446212
683.362019,141.173485
683.454801,140.609848
683.547557,140.082576
683.640285,139.918939
683.732986,139.973485
683.825661,139.628030
683.918308,139.555303
684.010928,139.428030
684.103522,139.573485
684.196088,139.755303
684.288627,140.228030
684.381139,141.209848
684.473624,142.173485
684.566082,142.755303
684.658514,142.791667
684.750918,143.082576
684.843295,143.737121
684.935645,144.246212
685.027968,144.173485
685.120264,144.337121
685.212533,144.209848
685.304774,143.809848
685.396989,143.791667
685.489177,143.664394
685.581338,144.082576
685.673471,144.046212
685.765578,144.100758
685.857658,144.646212
685.949710,145.555303
686.041736,146.955303
686.133734,148.264394
686.225706,150.555303
686.317650,153.064394
686.409567,155.373485
686.501458,158.191667
686.593321,161.264394
686.685157,164.737121
686.776966,168.609848
686.868748,172.209848
686.960503,176.028030
687.052231,179.391667
687.143932,182.500758
687.235606,184.482576
687.327252,186.937121
687.418872,188.100758
687.510465,189.228030
687.602030,188.482576
687.693569,188.082576
687.785080,186.337121
687.876564,184.355303
687.968021,181.428030
688.059452,178.100758
688.150855,174.773485
688.242231,172.646212
688.333580,168.737121
688.424901,165.464394
688.516196,161.973485
688.607464,159.664394
688.698704,156.555303
688.789918,153.973485
688.881104,151.464394
688.972264,149.391667
689.063396,147.355303
689.154501,145.573485
689.245579,142.918939
689.336630,141.755303
689.427654,140.191667
689.518651,138.900758
689.609620,137.773485
689.700563,137.591667
689.791478,136.828030
689.882367,136.246212
689.973228,136.918939
690.064062,138.137121
690.154869,139.355303
690.245649,140.555303
690.336402,141.737121
