#18_cooling_EuGa4_Mar07_23.dat.txt
#Tue, Mar 7, 2023, 11:39 AM
#WL (nm), Int (cts)
674.996352,72.524432
675.091533,72.433523
675.186688,72.724432
675.281816,73.324432
675.376916,72.906250
675.471990,73.178977
675.567037,73.378977
675.662057,73.397159
675.757051,73.033523
675.852017,72.924432
675.946956,73.088068
676.041869,73.306250
676.136754,73.288068
676.231613,72.615341
676.326444,72.778977
676.421249,73.288068
676.516027,72.778977
676.610778,72.488068
676.705502,72.415341
676.800199,72.869886
676.894869,73.142614
676.989513,73.069886
677.084129,73.051705
677.178718,73.197159
677.273281,73.015341
677.367816,72.615341
677.462325,72.360795
677.556807,72.924432
677.651261,73.688068
677.745689,74.033523
677.840090,74.433523
677.934464,74.069886
678.028811,74.160795
678.123131,74.542614
678.217424,74.415341
678.311690,74.651705
678.405930,75.124432
678.500142,75.160795
678.594327,75.051705
678.688486,74.688068
678.782617,74.869886
678.876722,74.069886
678.970799,74.324432
679.064850,74.542614
679.158873,74.578977
679.252870,74.869886
679.346840,75.033523
679.440783,74.760795
679.534698,76.288068
679.628587,76.615341
679.722449,77.215341
679.816284,77.015341
679.910092,77.633523
680.003873,78.033523
680.097627,78.506250
680.191354,78.506250
680.285054,78.669886
680.378727,79.288068
680.472373,79.542614
680.565993,78.233523
680.659585,78.560795
680.753150,78.215341
680.846688,78.488068
680.940199,78.088068
681.033684,77.633523
681.127141,77.015341
681.220571,76.760795
681.313975,76.360795
681.407351,76.069886
681.500700,75.778977
681.594023,80.142614
681.687318,79.560795
681.780587,79.088068
681.873828,78.506250
681.967042,78.306250
682.060230,78.088068
682.153390,77.997159
682.246524,77.415341
682.339630,77.142614
682.432710,76.906250
682.525762,76.815341
682.618788,72.106250
682.711786,72.106250
682.804757,72.233523
682.897702,71.942614
682.990619,71.833523
683.083510,72.051705
683.176373,72.360795
683.269210,72.669886
683.362019,72.888068
683.454801,72.960795
683.547557,72.797159
683.640285,72.706250
683.732986,72.488068
683.825661,72.524432
683.918308,73.015341
684.010928,73.342614
684.103522,73.160795
684.196088,72.833523
684.288627,72.469886
684.381139,73.015341
684.473624,73.451705
684.566082,73.960795
684.658514,73.833523
684.750918,73.888068
684.843295,74.615341
684.935645,74.997159
685.027968,75.360795
685.120264,75.797159
685.212533,76.360795
685.304774,76.942614
685.396989,77.178977
685.489177,77.178977
685.581338,77.760795
685.673471,78.924432
685.765578,79.942614
685.857658,80.851705
685.949710,81.997159
686.041736,82.869886
686.133734,84.488068
686.225706,86.378977
686.317650,88.888068
686.409567,91.560795
686.501458,94.488068
686.593321,97.469886
686.685157,100.833523
686.776966,104.451705
686.868748,107.488068
686.960503,110.706250
687.052231,114.215341
687.143932,117.324432
687.235606,119.924432
687.327252,122.869886
687.418872,124.342614
687.510465,125.397159
687.602030,125.378977
687.693569,124.724432
687.785080,123.324432
687.876564,121.378977
687.968021,118.851705
688.059452,115.578977
688.150855,112.033523
688.242231,109.378977
688.333580,104.742614
688.424901,100.669886
688.516196,96.724432
688.607464,93.378977
688.698704,90.015341
688.789918,86.688068
688.881104,84.578977
688.972264,82.306250
689.063396,80.451705
689.154501,78.433523
689.245579,75.706250
689.336630,74.415341
689.427654,73.197159
689.518651,72.324432
689.609620,71.324432
689.700563,70.688068
689.791478,70.160795
689.882367,69.233523
689.973228,70.233523
690.064062,70.942614
690.154869,71.506250
690.245649,72.124432
690.336402,73.197159
690.427128,74.469886
690.517826,75.178977
690.608498,75.288068
690.699142,74.924432
690.789759,75.106250
690.880350,74.924432
690.970913,73.069886
691.061449,71.269886
691.151957,70.451705
691.242439,69.215341
691.332894,67.778977
691.423321,66.433523
691.513721,64.797159
691.604095,64.469886
691.694441,64.578977
691.784760,64.178977
691.875051,64.142614
691.965316,64.197159
692.055554,64.706250
692.145764,64.724432
692.235947,65.560795
692.326104,66.160795
692.416233,66.997159
692.506334,69.324432
692.596409,71.378977
692.686457,74.415341
692.776477,78.415341
692.866471,83.451705
692.956437,89.851705
693.046376,96.251705
693.136288,103.106250
693.226172,109.778977
693.316030,115.851705
693.405860,121.033523
693.495664,124.378977
693.585440,127.142614
693.675189,127.542614
693.764911,126.978977
693.854605,125.288068
693.944273,123.142614
694.033913,121.433523
694.123526,120.269886
694.213112,121.288068
694.302671,127.215341
694.392203,137.578977
