#30_cooling_EuGa4_Mar07_23.dat.txt
#Tue, Mar 7, 2023, 12:08 PM
#WL (nm), Int (cts)
674.996352,74.557879
675.091533,74.757879
675.186688,75.321515
675.281816,75.466970
675.376916,75.285152
675.471990,75.485152
675.567037,75.448788
675.662057,75.703333
675.757051,75.048788
675.852017,75.121515
675.946956,75.285152
676.041869,75.466970
676.136754,75.103333
676.231613,74.866970
676.326444,74.903333
676.421249,75.139697
676.516027,74.648788
676.610778,74.612424
676.705502,74.266970
676.800199,74.248788
676.894869,74.757879
676.989513,74.921515
677.084129,74.812424
677.178718,75.103333
677.273281,74.412424
677.367816,74.357879
677.462325,74.376061
677.556807,74.885152
677.651261,75.539697
677.745689,75.776061
677.840090,76.466970
677.934464,76.012424
678.028811,75.430606
678.123131,75.612424
678.217424,75.794242
678.311690,75.812424
678.405930,76.430606
678.500142,76.430606
678.594327,76.485152
678.688486,76.485152
678.782617,76.576061
678.876722,75.866970
678.970799,76.066970
679.064850,76.466970
679.158873,76.703333
679.252870,76.685152
679.346840,76.976061
679.440783,76.794242
679.534698,77.939697
679.628587,78.212424
679.722449,78.321515
679.816284,78.612424
679.910092,79.085152
680.003873,79.503333
680.097627,80.503333
680.191354,80.503333
680.285054,80.576061
680.378727,81.648788
680.472373,81.757879
680.565993,80.976061
680.659585,81.448788
680.753150,81.248788
680.846688,80.557879
680.940199,80.794242
681.033684,80.503333
681.127141,79.994242
681.220571,79.903333
681.313975,79.266970
681.407351,78.903333
681.500700,78.357879
681.594023,82.466970
681.687318,81.976061
681.780587,81.503333
681.873828,81.648788
681.967042,81.157879
682.060230,81.085152
682.153390,80.521515
682.246524,80.466970
682.339630,80.466970
682.432710,80.048788
682.525762,80.266970
682.618788,75.812424
682.711786,75.666970
682.804757,76.121515
682.897702,76.321515
682.990619,76.557879
683.083510,76.248788
683.176373,76.194242
683.269210,76.321515
683.362019,76.576061
683.454801,76.576061
683.547557,76.448788
683.640285,76.557879
683.732986,76.430606
683.825661,76.285152
683.918308,76.030606
684.010928,76.012424
684.103522,75.994242
684.196088,76.394242
684.288627,76.176061
684.381139,76.521515
684.473624,76.921515
684.566082,77.121515
684.658514,76.903333
684.750918,77.121515
684.843295,77.848788
684.935645,78.230606
685.027968,78.466970
685.120264,78.903333
685.212533,79.139697
685.304774,79.666970
685.396989,79.994242
685.489177,80.539697
685.581338,81.339697
685.673471,82.176061
685.765578,82.757879
685.857658,83.321515
685.949710,84.394242
686.041736,84.976061
686.133734,86.703333
686.225706,88.521515
686.317650,91.085152
686.409567,93.466970
686.501458,96.412424
686.593321,99.557879
686.685157,102.921515
686.776966,107.085152
686.868748,110.630606
686.960503,114.376061
687.052231,118.903333
687.143932,122.085152
687.235606,124.957879
687.327252,127.412424
687.418872,129.048788
687.510465,129.576061
687.602030,129.376061
687.693569,128.812424
687.785080,126.976061
687.876564,124.830606
687.968021,122.048788
688.059452,118.557879
688.150855,115.194242
688.242231,112.266970
688.333580,107.830606
688.424901,103.976061
688.516196,99.957879
688.607464,96.448788
688.698704,93.157879
688.789918,90.012424
688.881104,87.176061
688.972264,84.939697
689.063396,82.939697
689.154501,80.776061
689.245579,78.103333
689.336630,76.739697
689.427654,75.412424
689.518651,74.757879
689.609620,74.285152
689.700563,73.794242
689.791478,73.194242
689.882367,73.085152
689.973228,74.248788
690.064062,75.139697
690.154869,75.739697
690.245649,76.776061
690.336402,77.921515
690.427128,79.339697
690.517826,80.012424
690.608498,79.430606
690.699142,78.721515
690.789759,78.576061
690.880350,78.539697
690.970913,76.557879
691.061449,74.866970
691.151957,73.921515
691.242439,72.339697
691.332894,71.066970
691.423321,69.557879
691.513721,68.176061
691.604095,68.612424
691.694441,69.157879
691.784760,69.503333
691.875051,69.976061
691.965316,70.430606
692.055554,71.176061
692.145764,71.776061
692.235947,72.921515
692.326104,73.776061
692.416233,75.412424
692.506334,77.939697
692.596409,80.612424
692.686457,83.866970
692.776477,88.448788
692.866471,93.394242
692.956437,99.812424
693.046376,107.030606
693.136288,114.503333
693.226172,122.212424
693.316030,129.303333
693.405860,135.630606
693.495664,140.412424
693.585440,144.612424
693.675189,148.139697
