#51_13.8K_EuGa4_Mar08_23.dat.txt
#Wed, Mar 8, 2023, 5:06 PM
#WL (nm), Int (cts)
674.996352,49.315909
675.091533,49.461364
675.186688,50.115909
675.281816,50.079545
675.376916,49.970455
675.471990,50.170455
675.567037,50.279545
675.662057,50.588636
675.757051,50.661364
675.852017,50.643182
675.946956,50.752273
676.041869,50.988636
676.136754,51.079545
676.231613,50.770455
676.326444,50.734091
676.421249,50.770455
676.516027,50.715909
676.610778,50.697727
676.705502,50.515909
676.800199,50.188636
676.894869,50.243182
676.989513,50.152273
677.084129,49.897727
677.178718,49.988636
677.273281,49.643182
677.367816,49.643182
677.462325,49.606818
677.556807,49.897727
677.651261,50.370455
677.745689,50.443182
677.840090,50.752273
677.934464,50.588636
678.028811,50.479545
678.123131,51.043182
678.217424,51.043182
678.311690,51.297727
678.405930,51.406818
678.500142,51.697727
678.594327,51.443182
678.688486,51.315909
678.782617,51.534091
678.876722,51.370455
678.970799,51.497727
679.064850,51.861364
679.158873,51.788636
679.252870,51.915909
679.346840,51.970455
679.440783,51.697727
679.534698,52.043182
679.628587,52.534091
679.722449,52.734091
679.816284,52.606818
679.910092,52.788636
680.003873,53.097727
680.097627,53.115909
680.191354,53.097727
680.285054,53.134091
680.378727,53.534091
680.472373,53.825000
680.565993,53.643182
680.659585,53.515909
680.753150,53.388636
680.846688,53.515909
680.940199,53.788636
681.033684,53.734091
681.127141,53.897727
681.220571,53.606818
681.313975,53.697727
681.407351,53.606818
681.500700,53.515909
681.594023,55.170455
681.687318,55.134091
681.780587,54.806818
681.873828,54.606818
681.967042,54.079545
682.060230,53.970455
682.153390,53.370455
682.246524,53.534091
682.339630,53.170455
682.432710,52.679545
682.525762,52.715909
682.618788,50.806818
682.711786,50.770455
682.804757,51.079545
682.897702,50.952273
682.990619,51.243182
683.083510,51.243182
683.176373,51.515909
683.269210,51.388636
683.362019,51.370455
683.454801,51.697727
683.547557,51.588636
683.640285,51.515909
683.732986,51.170455
683.825661,50.879545
683.918308,51.152273
684.010928,51.043182
684.103522,51.043182
684.196088,51.061364
684.288627,51.315909
684.381139,51.915909
684.473624,52.206818
684.566082,52.352273
684.658514,52.606818
684.750918,53.225000
684.843295,53.625000
684.935645,53.934091
685.027968,54.225000
685.120264,54.243182
685.212533,54.734091
685.304774,54.806818
685.396989,54.843182
685.489177,55.061364
685.581338,55.643182
685.673471,55.788636
685.765578,55.625000
685.857658,55.861364
685.949710,56.697727
686.041736,57.152273
686.133734,58.334091
686.225706,59.115909
686.317650,60.334091
686.409567,61.879545
686.501458,63.406818
686.593321,64.988636
686.685157,66.479545
686.776966,68.697727
686.868748,70.806818
686.960503,72.315909
687.052231,74.425000
687.143932,76.006818
687.235606,77.315909
687.327252,78.843182
687.418872,79.406818
687.510465,79.697727
687.602030,79.315909
687.693569,79.697727
687.785080,78.970455
687.876564,77.843182
687.968021,76.334091
688.059452,74.552273
688.150855,72.897727
688.242231,71.479545
688.333580,68.915909
688.424901,66.934091
688.516196,64.843182
688.607464,63.170455
688.698704,60.843182
688.789918,59.461364
688.881104,58.006818
688.972264,57.152273
689.063396,56.206818
689.154501,55.152273
689.245579,54.006818
689.336630,53.679545
689.427654,53.006818
689.518651,52.606818
689.609620,52.261364
689.700563,52.552273
689.791478,51.770455
689.882367,51.770455
689.973228,52.043182
690.064062,52.243182
690.154869,52.315909
690.245649,52.425000
690.336402,52.806818
690.427128,53.770455
690.517826,54.170455
690.608498,53.879545
690.699142,53.315909
690.789759,53.515909
690.880350,53.370455
690.970913,52.461364
691.061449,51.806818
691.151957,51.279545
691.242439,50.843182
691.332894,49.915909
691.423321,49.006818
691.513721,48.334091
691.604095,48.479545
