#73_EuGa4_Mar08_23.dat.txt
#Wed, Mar 8, 2023, 6:53 PM
#WL (nm), Int (cts)
674.996352,64.946429
675.091533,65.517857
675.186688,64.375000
675.281816,65.089286
675.376916,66.803571
675.471990,66.660714
675.567037,66.375000
675.662057,66.232143
675.757051,65.660714
675.852017,66.375000
675.946956,65.946429
676.041869,64.803571
676.136754,65.946429
676.231613,65.660714
676.326444,65.089286
676.421249,66.375000
676.516027,66.517857
676.610778,67.517857
676.705502,67.803571
676.800199,65.803571
676.894869,66.089286
676.989513,65.946429
677.084129,65.375000
677.178718,64.803571
677.273281,64.803571
677.367816,64.660714
677.462325,65.803571
677.556807,65.803571
677.651261,66.517857
677.745689,66.232143
677.840090,66.089286
677.934464,65.517857
678.028811,65.803571
678.123131,65.803571
678.217424,64.089286
678.311690,63.660714
678.405930,62.946429
678.500142,64.232143
678.594327,64.232143
678.688486,64.375000
678.782617,64.517857
678.876722,66.375000
678.970799,67.946429
679.064850,68.660714
679.158873,67.660714
679.252870,67.660714
679.346840,67.803571
679.440783,67.660714
679.534698,67.232143
679.628587,65.232143
679.722449,67.089286
679.816284,67.660714
679.910092,68.517857
680.003873,68.803571
680.097627,69.517857
680.191354,70.232143
680.285054,71.803571
680.378727,72.089286
680.472373,71.946429
680.565993,72.375000
680.659585,72.089286
680.753150,71.803571
680.846688,72.517857
680.940199,71.660714
681.033684,70.946429
681.127141,71.660714
681.220571,70.946429
681.313975,70.375000
681.407351,70.375000
681.500700,68.517857
681.594023,68.375000
681.687318,66.517857
681.780587,74.089286
681.873828,73.517857
681.967042,72.803571
682.060230,72.517857
682.153390,73.803571
682.246524,74.517857
682.339630,75.660714
682.432710,67.517857
682.525762,67.089286
682.618788,68.375000
682.711786,67.660714
682.804757,66.946429
682.897702,66.803571
682.990619,67.517857
683.083510,65.946429
683.176373,67.660714
683.269210,66.089286
683.362019,65.803571
683.454801,66.803571
683.547557,65.803571
683.640285,64.517857
683.732986,66.232143
683.825661,65.946429
683.918308,67.375000
684.010928,69.232143
684.103522,68.660714
684.196088,68.803571
684.288627,68.803571
684.381139,68.803571
684.473624,67.946429
684.566082,68.517857
684.658514,68.517857
684.750918,67.946429
684.843295,68.946429
684.935645,69.089286
685.027968,68.803571
685.120264,68.660714
685.212533,67.803571
685.304774,67.660714
685.396989,69.089286
685.489177,68.803571
685.581338,69.660714
685.673471,70.946429
685.765578,72.089286
685.857658,72.803571
685.949710,74.946429
686.041736,75.660714
686.133734,77.089286
686.225706,78.517857
686.317650,79.660714
686.409567,82.232143
686.501458,86.089286
686.593321,88.232143
686.685157,91.517857
686.776966,96.375000
686.868748,100.089286
686.960503,104.803571
687.052231,109.089286
687.143932,113.375000
687.235606,116.089286
687.327252,119.803571
687.418872,122.803571
687.510465,126.232143
687.602030,127.946429
687.693569,128.660714
687.785080,126.375000
687.876564,124.803571
687.968021,123.517857
688.059452,120.089286
688.150855,115.946429
688.242231,112.946429
688.333580,107.946429
688.424901,106.803571
688.516196,103.803571
688.607464,100.660714
688.698704,97.803571
688.789918,95.946429
688.881104,93.660714
688.972264,93.517857
689.063396,92.089286
689.154501,92.232143
689.245579,91.089286
689.336630,91.660714
689.427654,91.375000
689.518651,92.660714
689.609620,94.232143
