#31_run03_1aqq.txt
#Wed, Mar 15, 2023, 4:15 PM
#WL (nm), Int (cts)
674.996352,15.266667
675.091533,15.400000
675.186688,15.733333
675.281816,15.666667
675.376916,15.266667
675.471990,15.866667
675.567037,16.800000
675.662057,15.933333
675.757051,14.600000
675.852017,14.333333
675.946956,14.800000
676.041869,14.933333
676.136754,14.666667
676.231613,14.533333
676.326444,13.866667
676.421249,13.533333
676.516027,13.200000
676.610778,13.666667
676.705502,13.800000
676.800199,14.400000
676.894869,14.666667
676.989513,15.466667
677.084129,16.000000
677.178718,16.000000
677.273281,16.066667
677.367816,15.866667
677.462325,16.666667
677.556807,15.066667
677.651261,14.866667
677.745689,14.133333
677.840090,14.400000
677.934464,14.533333
678.028811,14.533333
678.123131,14.666667
678.217424,14.800000
678.311690,14.533333
678.405930,15.000000
678.500142,15.266667
678.594327,15.666667
678.688486,15.800000
678.782617,15.666667
678.876722,16.933333
678.970799,16.866667
679.064850,16.533333
679.158873,15.000000
679.252870,15.000000
679.346840,14.800000
679.440783,14.200000
679.534698,14.533333
679.628587,15.333333
679.722449,15.533333
679.816284,15.000000
679.910092,15.266667
680.003873,16.333333
680.097627,16.133333
680.191354,15.400000
680.285054,15.133333
680.378727,15.333333
680.472373,16.400000
680.565993,16.600000
680.659585,16.600000
680.753150,16.200000
680.846688,15.933333
680.940199,16.333333
681.033684,15.333333
681.127141,15.600000
681.220571,16.000000
681.313975,16.400000
681.407351,15.600000
681.500700,14.866667
681.594023,15.466667
681.687318,16.000000
681.780587,16.400000
681.873828,15.866667
681.967042,17.066667
682.060230,16.400000
682.153390,15.400000
682.246524,13.266667
682.339630,13.533333
682.432710,14.066667
682.525762,15.200000
682.618788,14.733333
682.711786,13.933333
682.804757,12.666667
682.897702,12.733333
682.990619,14.533333
683.083510,15.200000
683.176373,15.333333
683.269210,14.866667
683.362019,15.133333
683.454801,15.733333
683.547557,15.400000
683.640285,14.733333
683.732986,13.800000
683.825661,13.133333
683.918308,13.533333
684.010928,14.400000
684.103522,15.333333
684.196088,15.666667
684.288627,15.066667
684.381139,15.000000
684.473624,14.133333
684.566082,14.000000
684.658514,13.066667
684.750918,14.066667
684.843295,14.666667
684.935645,15.266667
685.027968,15.333333
685.120264,15.000000
685.212533,15.133333
685.304774,14.400000
685.396989,14.333333
685.489177,13.400000
685.581338,14.733333
685.673471,14.600000
685.765578,16.266667
685.857658,15.733333
685.949710,15.866667
686.041736,15.133333
686.133734,14.866667
686.225706,15.333333
686.317650,16.466667
686.409567,16.600000
686.501458,17.866667
686.593321,18.666667
686.685157,19.600000
686.776966,19.466667
686.868748,20.333333
686.960503,21.200000
687.052231,22.333333
687.143932,22.866667
687.235606,24.466667
687.327252,25.866667
687.418872,25.866667
687.510465,25.800000
687.602030,25.400000
687.693569,25.000000
687.785080,24.400000
687.876564,23.533333
687.968021,23.600000
688.059452,23.466667
688.150855,22.600000
688.242231,20.866667
688.333580,19.533333
688.424901,18.866667
