# R1  dR1 FWHM_R1  dFWHM_R1 R2 dR2 FWHM_R2  dFWHM_R2 A1  dA1 A2  dA2  B  dB
6.945284910105727931e+02 2.518360394446004721e-02 1.354052817318735835e+00 2.338682259900583607e-02 6.930308227150434277e+02 3.830137222561925264e-02 1.144652862743579913e+00 3.329352321572225104e-02 9.809287945473664649e+01 3.913888452286472752e+00 1.656759052044085365e+02 3.368742971922390694e+00 1.555036553426819523e+01 3.065048672442147182e-01
6.945251100874767189e+02 1.027134622012769727e-01 1.347646147029208930e+00 8.081104268250216549e-02 6.931226246034007090e+02 1.434455826543506174e-01 1.218970359409873971e+00 1.079993216802467154e-01 4.044289704719962941e+01 5.129882792401673441e+00 6.143694610231955977e+01 4.224496596262913961e+00 2.555522170973608098e+01 3.273882990227790502e-01
6.942060530393470117e+02 7.666958192540371253e-02 1.448359392792071043e+00 6.041508458045566354e-02 6.927033616376935470e+02 1.212205944273486852e-01 1.302253164334990609e+00 9.119440510244941622e-02 3.137045537175855969e+01 3.169336574611034241e+00 5.422311406043822046e+01 2.581467042358835506e+00 9.283811105812596054e+00 2.083642855180084796e-01
6.941935450338256715e+02 1.010498748820835326e-02 1.290026963314952591e+00 1.019307323112687846e-02 6.927387735493982746e+02 1.457555149510998682e-02 1.012050800691765673e+00 1.350428026351821464e-02 3.282812146514476694e+02 6.364707614610161102e+00 5.400119795703818681e+02 5.515811428652668269e+00 2.883236717936255999e+01 4.924846499986718085e-01
6.945036887094573785e+02 7.607388167455626793e-02 1.053814052989442418e+00 6.927323967398214821e-02 6.931901751967673135e+02 1.091961666731698505e-01 1.090171372573426334e+00 1.010795337585334852e-01 3.595652673840898217e+01 4.140074415438660616e+00 5.058066368391400403e+01 4.238650344878069909e+00 1.471838740963027270e+01 3.362035746597457075e-01
6.941867998676152638e+02 1.423017824054378586e-02 1.056587719511443701e+00 1.538197471240389073e-02 6.927838573673681140e+02 2.130938727294784743e-02 8.952367041129027925e-01 2.204750043848454494e-02 1.154358038859672320e+02 4.582242955724435518e+00 1.855910945734444226e+02 4.275397717645436302e+00 1.448813394681985756e+01 3.447313900180601909e-01
6.944653666387267776e+02 5.500759973158625415e-02 1.056783819495419330e+00 5.378597382037696162e-02 6.931221868969847719e+02 8.137292911266967577e-02 1.033744297411826496e+00 7.900242240287234929e-02 4.112329810831753463e+01 4.229626007823878986e+00 6.148678592993178427e+01 4.172465536857225210e+00 1.514086610652094222e+01 3.392427363447546584e-01
6.941769830460427784e+02 1.347085944781081096e-02 1.032116620770970661e+00 1.457637818753785772e-02 6.927666298004037344e+02 2.092561782908963428e-02 8.952571614697107938e-01 2.186472002049124480e-02 1.136586248168560189e+02 4.556377298325375413e+00 1.875199751180800831e+02 4.290836131370548756e+00 1.452015548817622737e+01 3.422627345982799940e-01
6.944416140963713815e+02 4.727421127722413602e-02 1.034108159669678173e+00 4.719807941478263574e-02 6.930812117683914266e+02 7.293134488070647514e-02 1.032774564821457908e+00 7.289865485042176796e-02 4.328933960171155348e+01 4.245526167058443434e+00 6.676954826126360842e+01 4.233457227257795275e+00 1.505860441298229269e+01 3.413358137101290546e-01
6.941613194026012934e+02 1.370454569017711365e-02 1.032672882645817358e+00 1.481914977620773198e-02 6.927533734451494638e+02 2.160238295433664427e-02 8.972489754180111854e-01 2.255436464224571877e-02 1.105933969815900753e+02 4.546003560059888926e+00 1.850285867716550854e+02 4.284404196367227691e+00 1.423162869311085643e+01 3.418594260560938181e-01
6.944265864736571530e+02 4.315368397174157433e-02 1.018139063907773867e+00 4.430250406878299269e-02 6.930888163861834528e+02 6.169114846970307625e-02 9.702095371689127834e-01 6.235646660599204055e-02 4.682702429814074918e+01 4.354970019865596953e+00 6.837644366105575955e+01 4.258075371580509305e+00 1.493495086981321940e+01 3.399093304518859826e-01
