#run03_Mar17_inside.txt
#Fri, Mar 17, 2023, 10:52 AM
#WL (nm), Int (cts)
674.996352,6.675000
675.091533,7.141667
675.186688,7.008333
675.281816,7.541667
675.376916,8.208333
675.471990,8.541667
675.567037,7.608333
675.662057,7.141667
675.757051,6.941667
675.852017,8.075000
675.946956,8.341667
676.041869,7.475000
676.136754,6.608333
676.231613,6.275000
676.326444,7.008333
676.421249,7.741667
676.516027,8.675000
676.610778,8.341667
676.705502,7.675000
676.800199,7.275000
676.894869,8.208333
676.989513,8.941667
677.084129,8.208333
677.178718,7.741667
677.273281,7.275000
677.367816,7.941667
677.462325,7.875000
677.556807,7.675000
677.651261,7.475000
677.745689,6.941667
677.840090,7.275000
677.934464,7.141667
678.028811,7.808333
678.123131,7.208333
678.217424,7.075000
678.311690,6.408333
678.405930,7.075000
678.500142,6.875000
678.594327,7.141667
678.688486,6.408333
678.782617,6.208333
678.876722,5.808333
678.970799,6.941667
679.064850,7.875000
679.158873,8.608333
679.252870,7.141667
679.346840,5.941667
679.440783,5.408333
679.534698,6.275000
679.628587,6.541667
679.722449,6.475000
679.816284,7.008333
679.910092,7.941667
680.003873,7.941667
680.097627,7.608333
680.191354,7.541667
680.285054,7.541667
680.378727,8.075000
680.472373,7.675000
680.565993,7.941667
680.659585,6.608333
680.753150,6.341667
680.846688,5.941667
680.940199,6.541667
681.033684,7.208333
681.127141,7.608333
681.220571,7.808333
681.313975,8.141667
681.407351,7.541667
681.500700,7.808333
681.594023,7.208333
681.687318,7.941667
681.780587,7.875000
681.873828,8.608333
681.967042,9.941667
682.060230,8.675000
682.153390,8.341667
682.246524,7.008333
682.339630,7.808333
682.432710,6.875000
682.525762,6.941667
682.618788,6.275000
682.711786,6.208333
682.804757,6.141667
682.897702,6.008333
682.990619,6.875000
683.083510,6.808333
683.176373,7.741667
683.269210,7.408333
683.362019,7.608333
683.454801,7.541667
683.547557,7.408333
683.640285,7.608333
683.732986,7.475000
683.825661,7.208333
683.918308,6.141667
684.010928,5.941667
684.103522,6.675000
684.196088,8.141667
684.288627,8.275000
684.381139,8.541667
684.473624,7.808333
684.566082,7.475000
684.658514,6.075000
684.750918,5.875000
684.843295,6.075000
684.935645,6.808333
685.027968,7.475000
685.120264,7.875000
685.212533,7.741667
685.304774,6.808333
685.396989,6.808333
685.489177,6.875000
685.581338,7.875000
685.673471,7.875000
685.765578,8.075000
685.857658,7.741667
685.949710,8.541667
686.041736,8.675000
686.133734,8.408333
686.225706,7.475000
686.317650,7.741667
686.409567,8.075000
686.501458,8.075000
686.593321,8.675000
686.685157,9.208333
686.776966,9.875000
686.868748,9.875000
686.960503,10.141667
687.052231,10.675000
687.143932,11.208333
687.235606,12.141667
687.327252,12.275000
687.418872,11.341667
687.510465,10.675000
687.602030,10.008333
687.693569,10.875000
687.785080,10.141667
687.876564,11.275000
687.968021,11.208333
688.059452,12.141667
688.150855,10.608333
688.242231,9.941667
688.333580,8.341667
688.424901,9.141667
