#run03_Mar17_outside.txt
#Fri, Mar 17, 2023, 10:51 AM
#WL (nm), Int (cts)
674.996352,3.681667
675.091533,3.681667
675.186688,3.481667
675.281816,3.948333
675.376916,3.748333
675.471990,3.481667
675.567037,3.081667
675.662057,2.881667
675.757051,2.281667
675.852017,2.348333
675.946956,2.148333
676.041869,2.348333
676.136754,3.481667
676.231613,3.615000
676.326444,4.148333
676.421249,4.081667
676.516027,4.548333
676.610778,4.815000
676.705502,3.881667
676.800199,4.481667
676.894869,4.348333
676.989513,5.015000
677.084129,4.215000
677.178718,3.615000
677.273281,3.081667
677.367816,2.948333
677.462325,3.215000
677.556807,3.815000
677.651261,3.948333
677.745689,4.348333
677.840090,3.881667
677.934464,3.548333
678.028811,3.548333
678.123131,4.348333
678.217424,4.815000
678.311690,4.348333
678.405930,3.548333
678.500142,3.348333
678.594327,3.481667
678.688486,3.348333
678.782617,3.348333
678.876722,3.281667
678.970799,3.748333
679.064850,4.481667
679.158873,5.481667
679.252870,5.415000
679.346840,5.348333
679.440783,4.681667
679.534698,4.415000
679.628587,4.415000
679.722449,4.081667
679.816284,4.348333
679.910092,4.681667
680.003873,4.748333
680.097627,4.815000
680.191354,4.281667
680.285054,4.548333
680.378727,4.148333
680.472373,4.081667
680.565993,3.881667
680.659585,3.815000
680.753150,4.148333
680.846688,4.415000
680.940199,4.548333
681.033684,4.281667
681.127141,3.748333
681.220571,3.815000
681.313975,4.015000
681.407351,4.348333
681.500700,4.281667
681.594023,3.348333
681.687318,2.815000
681.780587,2.548333
681.873828,2.815000
681.967042,4.281667
682.060230,4.015000
682.153390,4.548333
682.246524,2.948333
682.339630,3.615000
682.432710,3.481667
682.525762,4.348333
682.618788,3.681667
682.711786,3.215000
682.804757,3.148333
682.897702,3.348333
682.990619,3.748333
683.083510,4.281667
683.176373,4.881667
683.269210,4.281667
683.362019,3.748333
683.454801,3.348333
683.547557,3.681667
683.640285,4.281667
683.732986,4.281667
683.825661,4.348333
683.918308,3.415000
684.010928,3.681667
684.103522,3.481667
684.196088,3.681667
684.288627,3.015000
684.381139,3.948333
684.473624,3.948333
684.566082,5.081667
684.658514,4.481667
684.750918,4.415000
684.843295,4.081667
684.935645,3.148333
685.027968,2.948333
685.120264,3.081667
685.212533,4.215000
685.304774,4.815000
685.396989,5.215000
685.489177,5.281667
685.581338,5.348333
685.673471,4.748333
685.765578,4.748333
685.857658,4.948333
685.949710,5.015000
686.041736,5.281667
686.133734,5.348333
686.225706,5.481667
686.317650,5.548333
686.409567,5.548333
686.501458,5.881667
686.593321,6.348333
686.685157,6.748333
686.776966,6.815000
686.868748,6.281667
686.960503,6.015000
687.052231,6.548333
687.143932,7.481667
687.235606,8.348333
687.327252,8.615000
687.418872,8.748333
687.510465,8.281667
687.602030,8.015000
687.693569,7.881667
687.785080,8.148333
687.876564,7.881667
687.968021,7.281667
688.059452,7.215000
688.150855,7.615000
688.242231,7.815000
688.333580,7.481667
688.424901,6.748333
688.516196,6.281667
688.607464,5.748333
688.698704,5.215000
688.789918,5.148333
688.881104,4.215000
688.972264,4.215000
689.063396,4.081667
689.154501,4.015000
689.245579,4.215000
689.336630,3.748333
689.427654,3.548333
689.518651,3.015000
689.609620,3.015000
689.700563,3.748333
689.791478,3.415000
689.882367,3.481667
689.973228,4.015000
690.064062,4.348333
690.154869,4.615000
690.245649,4.548333
690.336402,4.681667
690.427128,4.148333
690.517826,3.748333
690.608498,4.948333
690.699142,5.881667
690.789759,6.281667
690.880350,5.815000
690.970913,5.015000
691.061449,4.681667
691.151957,3.881667
691.242439,4.481667
691.332894,4.148333
691.423321,4.081667
691.513721,4.481667
691.604095,6.615000
691.694441,9.681667
691.784760,12.481667
691.875051,13.815000
691.965316,13.348333
692.055554,11.215000
692.145764,8.415000
692.235947,6.481667
692.326104,5.148333
692.416233,5.348333
692.506334,5.481667
692.596409,5.148333
692.686457,4.815000
692.776477,5.681667
692.866471,8.615000
692.956437,15.215000
693.046376,25.215000
693.136288,38.681667
693.226172,51.748333
693.316030,58.615000
693.405860,57.081667
693.495664,45.081667
