#01_run03_inside_RT_.txt
#Tue, Mar 14, 2023, 7:20 PM
#WL (nm), Int (cts)
674.996352,28.628030
675.091533,28.555303
675.186688,28.355303
675.281816,28.300758
675.376916,28.191667
675.471990,27.882576
675.567037,27.482576
675.662057,27.718939
675.757051,27.737121
675.852017,27.628030
675.946956,27.573485
676.041869,27.737121
676.136754,27.555303
676.231613,27.700758
676.326444,27.973485
676.421249,28.028030
676.516027,28.046212
676.610778,28.028030
676.705502,27.755303
676.800199,27.573485
676.894869,27.446212
676.989513,27.446212
677.084129,27.173485
677.178718,27.155303
677.273281,26.809848
677.367816,26.355303
677.462325,26.191667
677.556807,26.209848
677.651261,26.209848
677.745689,26.137121
677.840090,26.137121
677.934464,26.209848
678.028811,26.246212
678.123131,26.428030
678.217424,26.500758
678.311690,26.700758
678.405930,26.737121
678.500142,26.700758
678.594327,26.900758
678.688486,26.737121
678.782617,26.828030
678.876722,26.464394
678.970799,26.337121
679.064850,26.228030
679.158873,26.246212
679.252870,25.955303
679.346840,25.809848
679.440783,25.737121
679.534698,25.791667
679.628587,25.609848
679.722449,25.373485
679.816284,25.482576
679.910092,25.828030
680.003873,25.573485
680.097627,25.609848
680.191354,25.428030
680.285054,25.773485
680.378727,25.773485
680.472373,25.664394
680.565993,25.700758
680.659585,25.373485
680.753150,25.537121
680.846688,25.246212
680.940199,25.082576
681.033684,25.355303
681.127141,25.428030
681.220571,25.355303
681.313975,25.100758
681.407351,25.028030
681.500700,25.246212
681.594023,25.100758
681.687318,25.046212
681.780587,24.973485
681.873828,24.937121
681.967042,25.028030
682.060230,24.791667
682.153390,24.409848
682.246524,24.591667
682.339630,24.482576
682.432710,24.228030
682.525762,24.173485
682.618788,24.264394
682.711786,24.373485
682.804757,24.409848
682.897702,24.464394
682.990619,24.500758
683.083510,24.482576
683.176373,24.518939
683.269210,24.300758
683.362019,24.464394
683.454801,24.446212
683.547557,24.264394
683.640285,24.009848
683.732986,23.918939
683.825661,23.828030
683.918308,23.664394
684.010928,23.428030
684.103522,23.428030
684.196088,23.391667
684.288627,23.464394
684.381139,23.282576
684.473624,23.664394
684.566082,23.573485
684.658514,23.791667
684.750918,23.700758
684.843295,23.773485
684.935645,23.846212
685.027968,23.991667
685.120264,23.828030
685.212533,23.846212
685.304774,23.791667
685.396989,23.828030
685.489177,23.555303
685.581338,23.700758
685.673471,23.264394
685.765578,23.300758
685.857658,23.428030
685.949710,23.373485
686.041736,23.355303
686.133734,23.609848
686.225706,23.700758
686.317650,23.846212
686.409567,24.082576
686.501458,24.209848
686.593321,24.391667
686.685157,24.955303
686.776966,25.373485
686.868748,25.664394
686.960503,26.100758
687.052231,26.464394
687.143932,26.537121
687.235606,26.718939
687.327252,26.846212
687.418872,26.882576
687.510465,27.028030
687.602030,27.046212
687.693569,26.900758
687.785080,26.846212
687.876564,26.628030
687.968021,26.209848
688.059452,25.791667
688.150855,25.700758
688.242231,25.591667
688.333580,25.118939
688.424901,24.737121
688.516196,24.464394
688.607464,24.155303
688.698704,23.918939
688.789918,23.518939
688.881104,23.209848
688.972264,22.937121
689.063396,22.955303
689.154501,22.700758
689.245579,22.500758
689.336630,22.446212
689.427654,22.791667
689.518651,22.809848
689.609620,22.828030
689.700563,22.737121
689.791478,22.700758
689.882367,22.682576
689.973228,23.082576
690.064062,23.209848
690.154869,23.555303
690.245649,23.628030
690.336402,23.864394
690.427128,23.500758
690.517826,23.573485
690.608498,23.864394
690.699142,24.137121
690.789759,24.446212
690.880350,24.628030
690.970913,24.791667
691.061449,24.809848
691.151957,24.900758
691.242439,25.246212
691.332894,25.500758
691.423321,26.191667
691.513721,26.482576
691.604095,26.682576
691.694441,27.537121
691.784760,28.246212
691.875051,29.537121
691.965316,31.191667
692.055554,33.446212
692.145764,36.809848
692.235947,41.609848
692.326104,47.900758
692.416233,56.209848
692.506334,67.355303
692.596409,79.573485
692.686457,91.046212
692.776477,101.337121
692.866471,109.755303
692.956437,115.573485
693.046376,119.537121
693.136288,121.591667
693.226172,122.082576
693.316030,120.973485
693.405860,117.973485
693.495664,113.264394
693.585440,108.773485
693.675189,106.773485
693.764911,108.773485
693.854605,115.246212
693.944273,126.282576
694.033913,140.009848
694.123526,154.318939
694.213112,166.500758
694.302671,176.082576
694.392203,182.246212
694.481707,185.391667
694.571185,184.628030
694.660635,179.973485
694.750058,171.682576
694.839454,159.373485
694.928822,143.482576
695.018164,125.828030
695.107478,107.682576
695.196765,91.628030
695.286025,78.155303
695.375258,67.446212
695.464464,58.573485
695.553642,52.300758
695.642793,47.209848
695.731918,42.918939
695.821014,39.482576
695.910084,37.137121
695.999127,35.228030
696.088142,33.973485
696.177130,32.500758
696.266091,31.137121
696.355025,30.137121
696.443931,29.173485
696.532811,28.209848
696.621663,27.609848
696.710488,27.064394
696.799286,26.409848
696.888056,25.900758
696.976799,25.228030
697.065516,24.373485
697.154205,23.973485
697.242866,23.573485
697.331501,23.173485
697.420108,23.009848
697.508688,22.482576
697.597241,22.173485
697.685767,22.300758
697.774265,22.246212
697.862737,22.064394
697.951181,21.718939
698.039598,21.809848
698.127987,21.755303
698.216350,21.773485
698.304685,21.609848
698.392993,21.428030
698.481274,21.628030
698.569527,21.682576
698.657753,21.155303
698.745953,21.064394
698.834124,20.664394
698.922269,20.718939
699.010386,20.464394
699.098477,20.464394
699.186539,20.209848
699.274575,20.118939
699.362584,20.191667
699.450565,19.918939
699.538519,19.609848
699.626445,19.646212
699.714345,19.500758
699.802217,19.518939
699.890062,19.555303
699.977880,19.246212
700.065671,19.064394
700.153434,19.064394
700.241170,19.100758
700.328879,18.828030
700.416560,18.991667
700.504214,18.828030
700.591841,18.646212
700.679441,18.518939
700.767014,18.428030
700.854559,18.173485
700.942077,18.409848
701.029568,18.264394
701.117031,18.173485
701.204467,17.991667
701.291876,18.046212
701.379258,17.937121
701.466612,18.137121
701.553939,18.373485
701.641239,18.718939
701.728512,19.155303
701.815757,19.118939
701.902975,19.173485
701.990166,19.028030
702.077330,18.882576
702.164466,18.828030
702.251575,18.755303
702.338657,18.482576
702.425711,18.355303
702.512738,18.282576
702.599738,17.900758
702.686710,17.537121
702.773656,17.628030
702.860574,17.337121
702.947464,17.628030
703.034328,17.791667
703.121164,18.009848
703.207973,18.228030
703.294754,18.518939
703.381509,18.718939
703.468235,18.718939
703.554935,18.955303
703.641607,19.173485
703.728253,19.446212
703.814870,19.973485
703.901461,19.973485
703.988024,20.082576
704.074560,20.064394
704.161068,20.064394
704.247549,20.137121
704.334003,20.155303
704.420430,20.355303
704.506829,20.482576
704.593201,20.591667
704.679546,20.900758
704.765863,21.064394
704.852153,21.155303
704.938416,21.500758
705.024652,21.864394
705.110860,22.228030
705.197040,22.700758
705.283194,23.137121
705.369320,23.518939
705.455419,23.991667
705.541490,24.500758
705.627534,24.682576
705.713551,25.118939
705.799541,25.791667
705.885503,26.537121
705.971438,27.064394
706.057345,27.700758
706.143225,28.300758
706.229078,29.118939
706.314904,29.918939
706.400702,30.809848
706.486473,31.646212
706.572216,32.446212
706.657932,32.973485
706.743621,33.428030
706.829282,33.591667
706.914917,33.773485
707.000523,33.828030
707.086103,33.646212
707.171655,33.228030
707.257179,32.428030
707.342677,31.537121
707.428147,30.482576
707.513589,29.737121
707.599005,29.028030
707.684393,28.155303
707.769753,27.337121
707.855086,26.555303
707.940392,26.173485
708.025671,25.773485
708.110922,25.937121
708.196146,26.718939
708.281342,27.573485
708.366511,29.009848
708.451653,30.409848
708.536767,32.082576
708.621854,33.773485
708.706913,35.446212
708.791946,37.228030
708.876950,37.991667
708.961928,38.591667
709.046878,38.537121
709.131800,37.864394
709.216696,36.955303
709.301564,35.209848
709.386404,33.228030
709.471217,30.773485
709.556003,28.609848
709.640761,26.500758
709.725492,24.300758
709.810196,22.773485
709.894872,21.337121
709.979521,20.355303
710.064142,19.518939
710.148736,19.028030
710.233303,18.791667
710.317842,18.609848
710.402354,18.646212
710.486838,18.737121
710.571295,18.573485
710.655725,18.555303
710.740127,18.573485
710.824502,18.882576
710.908849,18.991667
710.993169,19.355303
711.077462,19.428030
711.161727,19.937121
711.245965,20.755303
711.330175,21.682576
711.414358,22.664394
711.498514,23.918939
711.582642,24.955303
711.666743,26.482576
711.750816,27.682576
711.834862,28.955303
711.918880,30.118939
712.002871,31.264394
712.086835,32.100758
712.170771,32.500758
712.254680,33.009848
712.338561,32.955303
712.422415,32.864394
712.506241,32.482576
712.590040,31.591667
712.673812,30.482576
712.757556,29.428030
712.841273,28.300758
712.924962,27.191667
713.008624,26.028030
713.092258,25.046212
713.175865,23.773485
713.259445,22.718939
713.342997,21.737121
713.426522,21.082576
713.510019,20.046212
713.593489,19.718939
713.676931,19.173485
713.760346,18.737121
713.843733,18.264394
713.927093,17.991667
714.010426,17.718939
714.093731,17.555303
714.177008,17.482576
714.260258,17.246212
714.343481,17.082576
714.426676,17.228030
714.509844,17.191667
714.592984,17.173485
714.676097,17.264394
714.759183,17.391667
714.842240,17.409848
714.925271,17.300758
715.008274,17.246212
715.091249,17.137121
715.174197,16.882576
715.257118,16.864394
715.340011,16.937121
715.422877,16.918939
715.505715,16.918939
715.588525,16.537121
715.671309,16.373485
715.754064,16.009848
715.836793,15.882576
715.919493,15.682576
716.002167,15.482576
716.084812,15.573485
716.167431,15.391667
716.250021,15.228030
716.332585,15.028030
716.415121,14.791667
716.497629,14.846212
716.580110,14.537121
716.662563,14.682576
716.744989,14.555303
716.827387,14.373485
716.909758,14.373485
716.992102,14.118939
717.074417,13.955303
717.156706,13.937121
717.238967,13.918939
717.321200,13.773485
717.403406,13.464394
717.485584,13.555303
717.567735,13.409848
717.649858,13.446212
717.731954,13.500758
717.814023,13.682576
717.896063,13.737121
717.978077,13.555303
