#01_run03_inside_RT_503.txt
#Wed, Mar 15, 2023, 10:52 AM
#WL (nm), Int (cts)
674.996352,31.090606
675.091533,30.890606
675.186688,30.981515
675.281816,30.781515
675.376916,30.690606
675.471990,30.781515
675.567037,30.672424
675.662057,30.945152
675.757051,30.745152
675.852017,30.836061
675.946956,30.781515
676.041869,30.890606
676.136754,30.981515
676.231613,31.017879
676.326444,31.126970
676.421249,31.363333
676.516027,31.272424
676.610778,31.272424
676.705502,31.199697
676.800199,31.108788
676.894869,31.272424
676.989513,31.199697
677.084129,31.163333
677.178718,31.090606
677.273281,30.981515
677.367816,30.563333
677.462325,30.617879
677.556807,30.708788
677.651261,30.836061
677.745689,30.690606
677.840090,30.690606
677.934464,30.290606
678.028811,30.090606
678.123131,29.999697
678.217424,29.890606
678.311690,29.836061
678.405930,30.217879
678.500142,30.108788
678.594327,29.945152
678.688486,29.872424
678.782617,29.817879
678.876722,30.017879
678.970799,30.272424
679.064850,30.326970
679.158873,30.290606
679.252870,30.472424
679.346840,30.508788
679.440783,30.290606
679.534698,30.363333
679.628587,30.472424
679.722449,30.508788
679.816284,30.654242
679.910092,30.672424
680.003873,30.508788
680.097627,30.745152
680.191354,30.854242
680.285054,30.817879
680.378727,31.163333
680.472373,31.017879
680.565993,30.908788
680.659585,30.908788
680.753150,30.836061
680.846688,30.745152
680.940199,30.599697
681.033684,30.763333
681.127141,30.617879
681.220571,30.763333
681.313975,30.617879
681.407351,30.345152
681.500700,30.308788
681.594023,30.999697
681.687318,30.799697
681.780587,30.417879
681.873828,30.417879
681.967042,30.508788
682.060230,30.436061
682.153390,30.490606
682.246524,30.217879
682.339630,29.999697
682.432710,29.854242
682.525762,29.890606
682.618788,29.054242
682.711786,29.054242
682.804757,29.308788
682.897702,29.399697
682.990619,29.217879
683.083510,29.236061
683.176373,29.036061
683.269210,29.017879
683.362019,29.163333
683.454801,29.126970
683.547557,29.417879
683.640285,29.581515
683.732986,29.708788
683.825661,29.817879
683.918308,29.817879
684.010928,30.017879
684.103522,29.945152
684.196088,29.872424
684.288627,30.090606
684.381139,30.308788
684.473624,30.308788
684.566082,30.163333
684.658514,30.108788
684.750918,30.181515
684.843295,30.199697
684.935645,30.272424
685.027968,30.054242
685.120264,30.199697
685.212533,30.145152
685.304774,30.163333
685.396989,30.217879
685.489177,30.363333
685.581338,30.636061
685.673471,30.672424
685.765578,30.654242
685.857658,30.599697
685.949710,30.617879
686.041736,30.872424
686.133734,31.072424
686.225706,31.690606
686.317650,32.145152
686.409567,32.490606
686.501458,32.854242
686.593321,33.126970
686.685157,33.690606
686.776966,34.436061
686.868748,35.126970
686.960503,36.108788
687.052231,36.581515
687.143932,37.417879
687.235606,37.672424
687.327252,37.963333
687.418872,38.054242
687.510465,38.217879
687.602030,38.399697
687.693569,38.399697
687.785080,37.981515
687.876564,37.563333
687.968021,36.926970
688.059452,36.417879
688.150855,35.563333
688.242231,35.236061
688.333580,34.636061
688.424901,34.254242
688.516196,33.745152
688.607464,33.217879
688.698704,32.308788
688.789918,31.636061
688.881104,31.345152
688.972264,30.690606
689.063396,30.526970
689.154501,30.181515
689.245579,29.708788
689.336630,29.472424
689.427654,29.163333
689.518651,29.126970
689.609620,28.636061
689.700563,28.854242
689.791478,28.817879
