#01_run03_outside_RT_.txt
#Tue, Mar 14, 2023, 7:17 PM
#WL (nm), Int (cts)
674.996352,17.172121
675.091533,16.917576
675.186688,16.990303
675.281816,16.990303
675.376916,16.935758
675.471990,16.935758
675.567037,16.826667
675.662057,17.063030
675.757051,16.935758
675.852017,16.917576
675.946956,17.026667
676.041869,16.626667
676.136754,16.753939
676.231613,16.681212
676.326444,16.517576
676.421249,16.535758
676.516027,16.463030
676.610778,16.844848
676.705502,16.481212
676.800199,16.535758
676.894869,16.463030
676.989513,16.426667
677.084129,16.299394
677.178718,16.372121
677.273281,16.426667
677.367816,16.553939
677.462325,16.335758
677.556807,16.390303
677.651261,16.172121
677.745689,16.226667
677.840090,16.153939
677.934464,16.172121
678.028811,15.881212
678.123131,16.117576
678.217424,16.081212
678.311690,16.044848
678.405930,15.863030
678.500142,15.881212
678.594327,15.644848
678.688486,15.408485
678.782617,15.499394
678.876722,15.426667
678.970799,15.335758
679.064850,15.444848
679.158873,15.463030
679.252870,15.699394
679.346840,15.608485
679.440783,15.699394
679.534698,15.935758
679.628587,16.244848
679.722449,16.426667
679.816284,16.335758
679.910092,16.372121
680.003873,16.499394
680.097627,16.535758
680.191354,16.317576
680.285054,15.972121
680.378727,15.917576
680.472373,15.881212
680.565993,15.626667
680.659585,15.517576
680.753150,15.463030
680.846688,15.408485
680.940199,15.263030
681.033684,14.953939
681.127141,14.844848
681.220571,14.699394
681.313975,14.753939
681.407351,14.735758
681.500700,14.699394
681.594023,14.917576
681.687318,15.026667
681.780587,14.881212
681.873828,14.863030
681.967042,14.826667
682.060230,15.026667
682.153390,15.117576
682.246524,15.190303
682.339630,14.972121
682.432710,14.953939
682.525762,14.844848
682.618788,14.463030
682.711786,14.317576
682.804757,14.281212
682.897702,13.917576
682.990619,14.008485
683.083510,14.063030
683.176373,13.935758
683.269210,14.008485
683.362019,14.044848
683.454801,13.917576
683.547557,13.826667
683.640285,13.917576
683.732986,13.844848
683.825661,13.717576
683.918308,14.063030
684.010928,14.081212
684.103522,13.972121
684.196088,14.172121
684.288627,14.099394
684.381139,14.208485
684.473624,14.208485
684.566082,14.208485
684.658514,14.135758
684.750918,14.026667
684.843295,14.281212
684.935645,14.117576
685.027968,14.099394
685.120264,14.063030
685.212533,14.026667
685.304774,13.972121
685.396989,13.844848
685.489177,13.990303
685.581338,14.208485
685.673471,14.372121
685.765578,14.535758
685.857658,14.444848
685.949710,14.663030
686.041736,14.553939
686.133734,14.590303
686.225706,14.572121
686.317650,14.917576
686.409567,15.299394
686.501458,15.644848
686.593321,15.808485
686.685157,16.063030
686.776966,16.190303
686.868748,16.517576
686.960503,16.790303
687.052231,17.153939
687.143932,17.408485
687.235606,17.899394
687.327252,17.863030
687.418872,17.735758
687.510465,17.663030
687.602030,17.444848
687.693569,17.335758
687.785080,17.517576
687.876564,17.353939
687.968021,17.208485
688.059452,17.099394
688.150855,16.808485
688.242231,16.281212
688.333580,16.135758
688.424901,16.008485
688.516196,15.644848
688.607464,15.590303
688.698704,15.063030
