#01_run03_outside_RT_1503.txt
#Wed, Mar 15, 2023, 10:58 AM
#WL (nm), Int (cts)
674.996352,29.067593
675.091533,28.808333
675.186688,29.067593
675.281816,29.178704
675.376916,29.067593
675.471990,29.326852
675.567037,29.215741
675.662057,28.771296
675.757051,28.437963
675.852017,28.326852
675.946956,28.845370
676.041869,28.660185
676.136754,28.475000
676.231613,28.512037
676.326444,28.178704
676.421249,28.623148
676.516027,28.734259
676.610778,28.993519
676.705502,28.882407
676.800199,28.697222
676.894869,28.623148
676.989513,28.326852
677.084129,27.993519
677.178718,27.808333
677.273281,27.363889
677.367816,26.919444
677.462325,26.734259
677.556807,26.475000
677.651261,26.141667
677.745689,25.697222
677.840090,25.808333
677.934464,25.993519
678.028811,25.845370
678.123131,25.734259
678.217424,26.067593
678.311690,26.289815
678.405930,26.437963
678.500142,27.067593
678.594327,27.363889
678.688486,27.326852
678.782617,27.030556
678.876722,27.178704
678.970799,27.363889
679.064850,27.512037
679.158873,27.363889
679.252870,27.289815
679.346840,26.808333
679.440783,26.549074
679.534698,26.993519
679.628587,27.660185
679.722449,28.104630
679.816284,27.919444
679.910092,27.586111
680.003873,27.623148
680.097627,27.882407
680.191354,27.734259
680.285054,27.993519
680.378727,27.882407
680.472373,27.326852
680.565993,27.030556
680.659585,27.289815
680.753150,27.660185
680.846688,27.549074
680.940199,27.623148
681.033684,27.771296
681.127141,28.067593
681.220571,27.919444
681.313975,28.252778
681.407351,28.178704
681.500700,28.512037
681.594023,28.252778
681.687318,28.882407
681.780587,28.697222
681.873828,28.734259
681.967042,28.475000
682.060230,28.326852
682.153390,28.104630
682.246524,27.919444
682.339630,27.437963
682.432710,27.215741
682.525762,26.549074
682.618788,26.363889
682.711786,26.215741
682.804757,26.512037
682.897702,26.400926
682.990619,26.400926
683.083510,26.475000
683.176373,26.215741
683.269210,26.030556
683.362019,25.808333
683.454801,26.104630
683.547557,25.771296
683.640285,25.437963
683.732986,25.549074
683.825661,25.475000
683.918308,25.252778
684.010928,25.660185
684.103522,25.771296
684.196088,25.919444
684.288627,25.771296
684.381139,26.215741
684.473624,26.141667
684.566082,26.215741
684.658514,25.845370
684.750918,25.993519
684.843295,25.697222
684.935645,26.141667
685.027968,26.289815
685.120264,26.141667
685.212533,26.030556
685.304774,25.734259
685.396989,25.586111
685.489177,25.734259
685.581338,25.808333
685.673471,25.734259
685.765578,25.475000
685.857658,25.252778
685.949710,25.400926
686.041736,25.734259
686.133734,26.141667
686.225706,26.882407
686.317650,27.289815
686.409567,27.993519
686.501458,28.512037
686.593321,29.326852
686.685157,30.104630
686.776966,31.067593
686.868748,31.660185
686.960503,32.771296
687.052231,32.771296
687.143932,33.660185
687.235606,34.326852
687.327252,35.067593
687.418872,35.586111
687.510465,35.919444
687.602030,36.067593
687.693569,36.104630
687.785080,35.882407
687.876564,35.882407
687.968021,35.586111
688.059452,34.512037
688.150855,33.882407
688.242231,32.734259
688.333580,32.178704
688.424901,31.104630
688.516196,30.326852
688.607464,29.437963
688.698704,29.067593
688.789918,28.660185
688.881104,28.141667
688.972264,27.993519
689.063396,28.141667
689.154501,27.771296
689.245579,28.215741
689.336630,28.030556
689.427654,28.512037
689.518651,28.808333
689.609620,29.178704
689.700563,30.030556
689.791478,30.141667
689.882367,30.586111
689.973228,31.289815
690.064062,31.845370
690.154869,32.956481
690.245649,33.215741
690.336402,34.437963
690.427128,35.252778
690.517826,36.734259
690.608498,38.289815
690.699142,39.178704
690.789759,40.289815
690.880350,41.400926
690.970913,42.549074
691.061449,43.771296
691.151957,44.956481
691.242439,46.734259
691.332894,48.549074
691.423321,51.067593
691.513721,54.697222
691.604095,59.141667
691.694441,65.104630
691.784760,73.326852
691.875051,85.475000
691.965316,101.956481
692.055554,124.178704
692.145764,153.660185
692.235947,189.475000
692.326104,230.623148
692.416233,272.030556
692.506334,310.475000
692.596409,341.919444
692.686457,364.141667
692.776477,375.845370
692.866471,377.771296
692.956437,370.104630
693.046376,355.512037
693.136288,335.882407
693.226172,317.956481
693.316030,306.400926
693.405860,306.697222
693.495664,320.549074
693.585440,349.512037
693.675189,391.623148
693.764911,440.215741
693.854605,488.623148
693.944273,531.623148
694.033913,565.289815
694.123526,584.734259
694.213112,586.771296
694.302671,572.734259
694.392203,541.771296
694.481707,495.141667
694.571185,439.845370
694.660635,381.734259
694.750058,325.475000
694.839454,273.771296
694.928822,229.697222
695.018164,195.030556
695.107478,166.882407
695.196765,144.993519
695.286025,128.437963
695.375258,115.067593
695.464464,104.363889
695.553642,95.808333
695.642793,88.697222
695.731918,82.882407
695.821014,77.400926
695.910084,73.067593
695.999127,68.993519
696.088142,65.771296
696.177130,63.326852
696.266091,60.845370
696.355025,58.178704
696.443931,56.178704
696.532811,54.141667
696.621663,52.030556
696.710488,50.845370
696.799286,49.512037
696.888056,48.178704
696.976799,46.845370
697.065516,45.956481
697.154205,45.475000
697.242866,44.734259
697.331501,44.141667
697.420108,43.660185
697.508688,42.586111
697.597241,42.178704
697.685767,41.734259
697.774265,40.993519
697.862737,40.549074
697.951181,40.067593
698.039598,39.215741
698.127987,38.549074
698.216350,38.697222
698.304685,38.363889
698.392993,38.252778
698.481274,37.771296
698.569527,37.475000
698.657753,37.030556
698.745953,36.586111
698.834124,36.549074
698.922269,36.512037
699.010386,36.363889
699.098477,36.326852
699.186539,36.326852
699.274575,36.734259
699.362584,37.252778
699.450565,37.215741
699.538519,37.623148
699.626445,37.623148
699.714345,37.512037
699.802217,36.919444
699.890062,36.623148
699.977880,36.400926
700.065671,35.623148
700.153434,35.067593
700.241170,34.623148
700.328879,34.363889
700.416560,33.956481
700.504214,33.363889
700.591841,33.030556
700.679441,32.512037
700.767014,32.512037
700.854559,33.326852
700.942077,33.660185
701.029568,34.549074
701.117031,35.549074
701.204467,36.697222
701.291876,37.956481
701.379258,38.956481
701.466612,39.586111
701.553939,39.512037
701.641239,39.363889
701.728512,39.289815
701.815757,38.956481
701.902975,37.993519
701.990166,36.623148
702.077330,35.289815
702.164466,34.141667
702.251575,33.660185
702.338657,33.067593
702.425711,32.475000
702.512738,32.067593
702.599738,31.178704
702.686710,30.771296
702.773656,31.363889
702.860574,31.437963
702.947464,31.660185
703.034328,31.512037
703.121164,31.475000
703.207973,31.808333
703.294754,32.030556
703.381509,32.808333
703.468235,32.993519
703.554935,33.030556
703.641607,33.549074
703.728253,34.215741
703.814870,34.993519
703.901461,35.697222
703.988024,36.215741
704.074560,36.993519
704.161068,37.808333
704.247549,38.623148
704.334003,39.400926
704.420430,40.400926
704.506829,41.326852
704.593201,42.400926
704.679546,43.400926
704.765863,43.993519
704.852153,44.252778
704.938416,44.993519
705.024652,46.030556
705.110860,46.586111
705.197040,46.771296
705.283194,47.252778
705.369320,48.215741
705.455419,49.141667
705.541490,49.623148
705.627534,50.956481
705.713551,51.326852
705.799541,52.141667
705.885503,52.845370
705.971438,54.141667
706.057345,55.363889
706.143225,56.475000
706.229078,57.660185
706.314904,59.326852
706.400702,60.697222
706.486473,62.475000
706.572216,64.104630
706.657932,66.030556
706.743621,68.030556
706.829282,69.178704
706.914917,70.252778
707.000523,70.734259
707.086103,70.697222
707.171655,70.289815
707.257179,69.512037
707.342677,67.586111
707.428147,65.549074
707.513589,63.586111
707.599005,61.400926
707.684393,59.252778
707.769753,57.400926
707.855086,55.845370
707.940392,54.215741
708.025671,52.845370
708.110922,52.475000
708.196146,53.178704
708.281342,53.623148
708.366511,56.215741
708.451653,58.697222
708.536767,61.734259
708.621854,66.030556
708.706913,69.956481
708.791946,74.104630
708.876950,77.289815
708.961928,78.623148
709.046878,78.956481
709.131800,77.067593
709.216696,74.252778
709.301564,70.623148
709.386404,65.771296
709.471217,60.660185
709.556003,55.400926
709.640761,50.549074
709.725492,46.512037
709.810196,43.215741
709.894872,40.512037
709.979521,38.289815
710.064142,36.919444
710.148736,35.549074
710.233303,34.771296
710.317842,34.141667
710.402354,33.956481
710.486838,33.512037
710.571295,33.326852
710.655725,33.326852
710.740127,34.067593
710.824502,34.437963
710.908849,34.882407
710.993169,36.067593
711.077462,36.882407
711.161727,38.363889
711.245965,39.956481
711.330175,42.289815
711.414358,44.956481
711.498514,47.363889
711.582642,50.141667
711.666743,53.326852
711.750816,57.067593
711.834862,60.771296
711.918880,63.030556
712.002871,65.326852
712.086835,67.549074
712.170771,69.252778
712.254680,70.549074
712.338561,71.030556
712.422415,71.252778
712.506241,69.512037
712.590040,67.956481
712.673812,66.437963
712.757556,64.919444
712.841273,62.030556
712.924962,59.104630
713.008624,56.215741
713.092258,53.771296
713.175865,51.326852
713.259445,49.030556
713.342997,47.178704
713.426522,45.734259
713.510019,44.882407
713.593489,43.919444
713.676931,43.215741
713.760346,42.437963
713.843733,41.993519
713.927093,41.512037
714.010426,41.363889
714.093731,41.104630
714.177008,40.660185
714.260258,40.104630
714.343481,40.252778
714.426676,40.067593
714.509844,39.808333
714.592984,39.437963
714.676097,39.104630
714.759183,39.215741
714.842240,38.734259
714.925271,38.697222
715.008274,38.326852
715.091249,37.771296
715.174197,37.178704
715.257118,37.067593
715.340011,36.993519
715.422877,36.586111
715.505715,36.512037
715.588525,36.141667
715.671309,35.993519
715.754064,35.586111
715.836793,34.956481
715.919493,35.030556
716.002167,34.660185
716.084812,34.215741
