#16_run03.txt.txt
#Wed, Mar 15, 2023, 3:35 PM
#WL (nm), Int (cts)
674.996352,20.753333
675.091533,21.553333
675.186688,21.686667
675.281816,22.153333
675.376916,20.353333
675.471990,21.153333
675.567037,21.353333
675.662057,22.086667
675.757051,21.420000
675.852017,21.086667
675.946956,21.420000
676.041869,22.286667
676.136754,21.886667
676.231613,21.286667
676.326444,20.686667
676.421249,21.353333
676.516027,22.086667
676.610778,22.086667
676.705502,22.153333
676.800199,22.020000
676.894869,21.886667
676.989513,22.353333
677.084129,21.820000
677.178718,21.753333
677.273281,20.553333
677.367816,20.620000
677.462325,20.286667
677.556807,21.086667
677.651261,20.753333
677.745689,21.686667
677.840090,21.486667
677.934464,21.753333
678.028811,20.753333
678.123131,20.153333
678.217424,20.486667
678.311690,20.820000
678.405930,21.220000
678.500142,20.353333
678.594327,20.486667
678.688486,20.220000
678.782617,21.286667
678.876722,21.486667
678.970799,22.153333
679.064850,22.220000
679.158873,21.820000
679.252870,22.220000
679.346840,21.686667
679.440783,22.086667
679.534698,21.620000
679.628587,21.220000
679.722449,20.353333
679.816284,20.220000
679.910092,21.620000
680.003873,22.220000
680.097627,22.420000
680.191354,21.686667
680.285054,21.086667
680.378727,20.620000
680.472373,20.620000
680.565993,21.686667
680.659585,21.486667
680.753150,21.220000
680.846688,21.686667
680.940199,22.353333
681.033684,23.220000
681.127141,22.286667
681.220571,22.820000
681.313975,21.620000
681.407351,21.620000
681.500700,20.953333
681.594023,20.486667
681.687318,20.020000
681.780587,19.953333
681.873828,20.820000
681.967042,22.286667
682.060230,22.086667
682.153390,21.686667
682.246524,20.220000
682.339630,20.153333
682.432710,20.753333
682.525762,20.020000
682.618788,19.153333
682.711786,18.753333
682.804757,19.220000
682.897702,19.886667
682.990619,19.220000
683.083510,20.686667
683.176373,20.686667
683.269210,22.220000
683.362019,20.353333
683.454801,20.220000
683.547557,19.553333
683.640285,20.153333
683.732986,20.353333
683.825661,20.020000
683.918308,19.353333
684.010928,19.086667
684.103522,19.153333
684.196088,19.753333
684.288627,19.886667
684.381139,19.153333
684.473624,19.686667
684.566082,19.820000
684.658514,20.420000
684.750918,20.086667
684.843295,20.753333
684.935645,20.820000
685.027968,20.820000
685.120264,20.486667
685.212533,20.353333
685.304774,20.286667
685.396989,19.620000
685.489177,20.686667
685.581338,20.553333
685.673471,20.420000
685.765578,18.886667
685.857658,19.953333
685.949710,20.753333
686.041736,22.353333
686.133734,21.220000
686.225706,21.886667
686.317650,21.286667
686.409567,21.553333
686.501458,21.620000
686.593321,21.486667
686.685157,22.953333
686.776966,23.486667
686.868748,25.286667
686.960503,25.820000
687.052231,27.353333
687.143932,28.086667
687.235606,28.353333
687.327252,28.286667
687.418872,28.286667
687.510465,28.753333
687.602030,28.420000
687.693569,28.753333
687.785080,28.353333
687.876564,29.153333
687.968021,27.953333
688.059452,27.420000
688.150855,25.353333
688.242231,24.286667
688.333580,23.686667
688.424901,23.153333
688.516196,22.953333
688.607464,22.420000
688.698704,22.553333
688.789918,22.486667
688.881104,22.620000
688.972264,21.753333
689.063396,21.686667
689.154501,20.553333
689.245579,20.486667
689.336630,19.953333
689.427654,20.153333
689.518651,19.953333
689.609620,18.886667
689.700563,18.620000
689.791478,18.153333
689.882367,19.086667
689.973228,18.486667
690.064062,18.620000
690.154869,17.820000
690.245649,19.153333
690.336402,19.420000
690.427128,21.153333
690.517826,20.753333
690.608498,21.486667
690.699142,21.620000
690.789759,22.353333
690.880350,21.753333
690.970913,20.220000
691.061449,19.420000
691.151957,18.553333
691.242439,19.486667
691.332894,18.753333
691.423321,19.620000
691.513721,18.553333
691.604095,19.153333
691.694441,19.086667
691.784760,19.686667
691.875051,20.086667
691.965316,21.086667
692.055554,22.553333
692.145764,23.420000
692.235947,24.886667
692.326104,27.886667
692.416233,35.220000
692.506334,43.820000
692.596409,53.686667
692.686457,62.086667
692.776477,67.620000
692.866471,67.086667
692.956437,61.620000
693.046376,54.286667
693.136288,47.553333
693.226172,44.753333
693.316030,42.553333
693.405860,43.953333
693.495664,43.953333
693.585440,46.820000
693.675189,48.686667
693.764911,54.420000
693.854605,61.553333
693.944273,72.553333
694.033913,83.553333
694.123526,95.420000
694.213112,101.553333
694.302671,100.886667
694.392203,90.886667
694.481707,76.620000
694.571185,61.553333
694.660635,48.286667
694.750058,39.420000
694.839454,33.820000
694.928822,31.420000
695.018164,28.953333
695.107478,26.420000
695.196765,24.620000
695.286025,23.686667
695.375258,22.820000
695.464464,20.820000
695.553642,19.286667
695.642793,18.820000
695.731918,19.420000
695.821014,19.686667
695.910084,19.420000
695.999127,18.753333
696.088142,17.953333
696.177130,17.353333
696.266091,16.886667
696.355025,17.553333
696.443931,17.086667
696.532811,17.020000
696.621663,15.753333
696.710488,16.086667
696.799286,16.420000
696.888056,17.286667
696.976799,16.886667
697.065516,16.553333
697.154205,15.953333
697.242866,16.220000
697.331501,15.886667
697.420108,15.553333
697.508688,15.420000
697.597241,14.886667
697.685767,15.486667
697.774265,15.620000
697.862737,16.753333
697.951181,16.220000
698.039598,16.220000
698.127987,15.420000
698.216350,15.286667
698.304685,14.220000
698.392993,15.020000
698.481274,15.686667
698.569527,16.953333
698.657753,16.620000
698.745953,16.353333
698.834124,15.686667
698.922269,14.953333
699.010386,15.286667
699.098477,14.620000
699.186539,14.886667
699.274575,14.486667
699.362584,14.886667
699.450565,15.153333
699.538519,14.286667
699.626445,14.953333
699.714345,14.886667
699.802217,16.220000
699.890062,14.753333
699.977880,14.553333
700.065671,12.953333
700.153434,13.753333
700.241170,13.553333
700.328879,15.620000
700.416560,15.686667
700.504214,16.086667
700.591841,14.886667
700.679441,14.753333
700.767014,13.820000
700.854559,13.953333
700.942077,13.553333
701.029568,13.753333
701.117031,14.286667
701.204467,14.820000
701.291876,15.620000
701.379258,15.553333
701.466612,16.286667
701.553939,16.153333
701.641239,15.820000
701.728512,14.086667
701.815757,14.620000
701.902975,14.420000
701.990166,15.286667
702.077330,14.953333
702.164466,15.086667
702.251575,15.620000
702.338657,15.420000
702.425711,15.753333
702.512738,15.353333
702.599738,15.420000
702.686710,15.353333
702.773656,15.820000
702.860574,15.953333
702.947464,15.686667
703.034328,16.086667
703.121164,15.820000
703.207973,16.020000
703.294754,14.620000
703.381509,14.753333
703.468235,15.286667
703.554935,16.553333
703.641607,17.086667
703.728253,17.153333
703.814870,17.553333
703.901461,18.086667
703.988024,17.953333
704.074560,18.020000
704.161068,18.886667
704.247549,19.286667
704.334003,19.086667
704.420430,18.486667
704.506829,18.753333
704.593201,18.620000
704.679546,18.820000
704.765863,19.086667
704.852153,19.953333
704.938416,20.486667
705.024652,21.686667
705.110860,22.353333
705.197040,22.886667
705.283194,23.153333
705.369320,24.153333
705.455419,25.553333
705.541490,24.620000
705.627534,25.620000
705.713551,25.553333
705.799541,27.620000
705.885503,29.086667
705.971438,31.353333
706.057345,33.353333
706.143225,33.953333
706.229078,34.086667
706.314904,35.086667
706.400702,37.886667
706.486473,40.553333
706.572216,42.953333
706.657932,44.353333
706.743621,45.753333
706.829282,46.686667
706.914917,48.353333
707.000523,48.953333
707.086103,49.153333
707.171655,47.553333
707.257179,46.553333
707.342677,44.686667
707.428147,42.620000
707.513589,39.486667
707.599005,37.153333
707.684393,34.486667
707.769753,33.686667
707.855086,32.086667
707.940392,31.620000
708.025671,29.553333
708.110922,28.086667
708.196146,27.286667
708.281342,29.153333
708.366511,31.153333
708.451653,35.286667
708.536767,38.553333
708.621854,45.686667
708.706913,50.486667
708.791946,56.686667
708.876950,59.686667
708.961928,62.420000
709.046878,62.620000
709.131800,62.486667
709.216696,59.620000
709.301564,55.086667
709.386404,48.086667
709.471217,41.353333
709.556003,35.286667
709.640761,29.886667
709.725492,26.886667
709.810196,23.686667
709.894872,21.820000
709.979521,19.886667
710.064142,20.486667
710.148736,19.820000
710.233303,18.886667
710.317842,18.086667
710.402354,18.886667
710.486838,18.553333
710.571295,17.220000
710.655725,17.153333
710.740127,17.353333
710.824502,18.286667
710.908849,18.086667
710.993169,19.620000
711.077462,20.020000
711.161727,20.953333
711.245965,22.086667
711.330175,23.686667
711.414358,25.753333
711.498514,27.686667
711.582642,31.553333
711.666743,35.953333
711.750816,40.153333
711.834862,42.820000
711.918880,45.486667
712.002871,47.220000
712.086835,48.686667
712.170771,48.553333
712.254680,49.153333
712.338561,48.553333
712.422415,48.153333
712.506241,47.020000
712.590040,45.820000
712.673812,43.153333
712.757556,39.553333
712.841273,35.886667
712.924962,32.820000
713.008624,29.420000
713.092258,26.886667
713.175865,24.820000
713.259445,22.486667
713.342997,20.753333
713.426522,18.486667
713.510019,17.953333
713.593489,16.486667
713.676931,15.753333
713.760346,15.820000
713.843733,15.686667
713.927093,15.953333
714.010426,14.353333
714.093731,14.220000
714.177008,13.420000
714.260258,13.353333
714.343481,13.753333
714.426676,14.086667
714.509844,14.086667
714.592984,13.753333
714.676097,13.686667
714.759183,13.620000
714.842240,13.086667
714.925271,11.753333
715.008274,12.020000
715.091249,11.353333
715.174197,12.420000
715.257118,11.820000
715.340011,12.753333
715.422877,12.953333
715.505715,13.820000
715.588525,13.353333
715.671309,12.286667
715.754064,11.886667
715.836793,11.620000
715.919493,11.553333
716.002167,10.953333
716.084812,10.153333
716.167431,10.553333
716.250021,10.220000
716.332585,10.753333
716.415121,10.686667
716.497629,11.486667
716.580110,11.753333
716.662563,11.686667
716.744989,11.220000
716.827387,11.486667
716.909758,11.820000
716.992102,12.353333
717.074417,12.353333
717.156706,12.086667
717.238967,11.886667
717.321200,11.620000
717.403406,11.620000
717.485584,11.620000
717.567735,10.353333
717.649858,10.886667
717.731954,10.486667
717.814023,10.420000
717.896063,10.220000
717.978077,10.486667
718.060062,11.486667
718.142021,10.553333
718.223951,10.753333
718.305855,10.953333
718.387730,12.153333
718.469579,11.486667
718.551399,11.153333
718.633192,10.820000
718.714958,11.220000
718.796696,11.420000
718.878407,10.753333
718.960090,10.353333
719.041745,10.020000
719.123373,10.486667
719.204974,10.886667
719.286546,10.820000
719.368092,10.220000
719.449610,9.286667
719.531100,9.353333
719.612563,9.220000
719.693998,9.753333
719.775406,10.086667
719.856786,10.353333
719.938138,10.286667
720.019463,9.686667
720.100761,9.686667
720.182031,10.086667
720.263273,9.820000
720.344488,10.420000
720.425675,9.753333
720.506835,10.286667
720.587967,9.753333
720.669072,9.620000
720.750149,10.153333
720.831199,9.953333
720.912220,10.820000
720.993215,10.020000
721.074182,10.753333
721.155121,10.153333
721.236033,11.220000
721.316917,10.886667
721.397773,10.953333
721.478602,9.686667
721.559404,9.620000
721.640178,9.153333
721.720924,9.553333
721.801643,9.286667
721.882334,9.353333
721.962998,9.086667
722.043634,8.753333
722.124242,9.486667
722.204823,9.486667
722.285376,9.553333
722.365902,8.086667
722.446400,8.486667
722.526870,8.220000
722.607313,8.420000
722.687729,8.353333
722.768116,8.220000
722.848477,8.886667
722.928809,8.420000
723.009114,9.753333
723.089391,9.153333
723.169641,9.153333
723.249863,7.486667
723.330058,8.553333
723.410225,8.953333
723.490364,9.353333
723.570476,9.353333
723.650560,8.953333
723.730617,9.420000
723.810646,8.953333
723.890647,9.086667
723.970621,8.553333
724.050567,8.553333
724.130486,9.486667
724.210377,10.086667
724.290240,9.420000
724.370076,9.486667
724.449884,9.086667
724.529665,9.353333
724.609417,8.753333
724.689143,8.420000
724.768840,8.220000
724.848510,7.220000
724.928153,8.020000
725.007767,7.953333
725.087355,8.553333
725.166914,8.353333
725.246446,9.286667
725.325950,8.420000
725.405427,8.153333
725.484876,7.420000
725.564297,9.686667
725.643691,9.220000
725.723057,9.020000
725.802396,8.153333
725.881706,8.820000
725.960990,9.020000
726.040245,8.686667
726.119473,9.153333
726.198673,8.953333
726.277846,9.086667
726.356991,8.486667
726.436108,9.353333
726.515198,9.086667
726.594260,9.020000
726.673294,8.820000
726.752301,9.220000
726.831280,10.153333
726.910231,9.753333
726.989155,10.086667
727.068051,9.286667
727.146920,9.420000
727.225761,8.220000
727.304574,8.020000
727.383359,7.953333
727.462117,7.953333
727.540847,7.953333
727.619550,7.753333
727.698224,7.686667
727.776871,7.553333
727.855491,8.220000
727.934083,7.420000
728.012647,7.686667
728.091183,6.953333
728.169692,7.953333
728.248173,8.020000
728.326627,8.686667
728.405052,8.086667
728.483450,7.953333
728.561821,7.886667
728.640163,8.620000
728.718479,8.553333
728.796766,8.086667
728.875025,8.486667
728.953257,8.486667
729.031462,8.286667
729.109638,8.020000
729.187787,8.420000
729.265908,8.353333
729.344002,7.953333
729.422068,7.353333
729.500106,8.086667
729.578116,8.420000
729.656099,7.886667
729.734054,7.553333
729.811981,7.286667
729.889881,7.886667
729.967753,7.286667
730.045597,7.020000
730.123414,6.486667
730.201202,7.086667
730.278963,7.153333
730.356697,7.553333
730.434402,8.286667
730.512080,7.686667
730.589731,8.020000
730.667353,7.020000
730.744948,8.220000
730.822515,7.953333
730.900054,7.886667
730.977566,7.486667
731.055050,7.620000
731.132506,8.153333
731.209935,8.086667
731.287335,7.820000
731.364708,7.353333
731.442054,7.953333
731.519371,8.353333
731.596661,8.753333
731.673923,7.153333
731.751158,7.086667
731.828364,5.686667
731.905543,6.420000
731.982694,5.953333
732.059818,6.620000
732.136913,6.420000
732.213981,6.486667
732.291022,6.753333
732.368034,7.086667
732.445019,7.286667
732.521976,7.353333
732.598905,7.153333
732.675806,6.886667
732.752680,7.420000
732.829526,7.353333
732.906344,7.486667
732.983135,6.353333
733.059898,6.953333
733.136633,6.220000
733.213340,6.020000
733.290019,5.286667
733.366671,6.686667
733.443295,7.753333
733.519891,7.620000
733.596459,6.953333
733.673000,6.420000
733.749513,6.953333
733.825998,6.020000
733.902455,5.486667
733.978885,5.420000
734.055287,5.886667
734.131661,6.353333
734.208007,6.420000
734.284326,7.353333
734.360616,7.686667
734.436879,7.420000
734.513114,6.353333
734.589322,6.020000
734.665501,6.153333
734.741653,7.020000
734.817777,7.286667
734.893873,7.153333
734.969942,6.220000
735.045982,5.753333
735.121995,5.753333
735.197980,6.420000
735.273938,7.286667
735.349867,7.286667
735.425769,7.886667
735.501643,6.686667
735.577489,7.420000
735.653307,6.153333
735.729098,7.286667
735.804860,6.420000
735.880595,7.086667
735.956302,6.753333
736.031982,6.620000
736.107633,6.086667
736.183257,5.620000
736.258853,6.486667
736.334421,6.686667
736.409961,7.420000
736.485474,7.020000
736.560958,7.086667
736.636415,6.553333
736.711844,6.753333
736.787245,6.420000
736.862619,6.820000
736.937964,5.886667
737.013282,5.620000
737.088572,5.686667
737.163834,5.353333
737.239068,6.020000
737.314275,5.753333
737.389453,6.886667
737.464604,6.420000
737.539727,6.220000
737.614822,6.020000
737.689890,6.286667
737.764929,6.620000
737.839941,6.153333
737.914925,6.286667
737.989881,6.153333
738.064809,7.286667
738.139709,7.153333
738.214581,6.553333
738.289426,5.553333
738.364243,5.686667
738.439032,5.620000
738.513793,5.620000
738.588526,4.753333
738.663231,5.620000
738.737909,5.086667
738.812559,6.153333
738.887180,5.353333
738.961774,6.086667
739.036340,5.086667
739.110879,5.686667
739.185389,5.420000
739.259872,6.086667
739.334326,6.353333
739.408753,6.420000
739.483152,6.420000
739.557523,5.953333
739.631866,5.553333
739.706182,5.553333
739.780469,5.286667
739.854729,5.820000
739.928961,5.620000
740.003165,6.020000
740.077341,5.953333
740.151489,6.420000
740.225609,5.686667
740.299701,5.553333
740.373766,5.153333
740.447802,6.086667
740.521811,6.086667
740.595792,5.420000
740.669745,4.553333
740.743670,4.820000
740.817567,5.220000
740.891437,5.153333
740.965278,5.553333
741.039092,5.553333
741.112877,6.086667
741.186635,5.153333
741.260365,5.886667
741.334067,5.420000
741.407741,5.886667
741.481387,4.753333
741.555006,5.086667
741.628596,5.486667
741.702159,6.486667
741.775693,7.820000
741.849200,7.153333
741.922679,8.220000
741.996130,7.286667
742.069552,8.353333
742.142948,7.086667
742.216315,7.953333
742.289654,7.486667
742.362965,8.220000
742.436249,7.553333
742.509504,7.686667
742.582732,7.486667
742.655932,7.420000
742.729103,7.486667
742.802247,7.553333
742.875363,7.286667
742.948451,6.286667
743.021511,5.820000
743.094543,5.953333
743.167548,6.753333
743.240524,6.686667
743.313472,5.953333
743.386393,5.686667
743.459285,5.420000
743.532150,5.820000
743.604986,6.286667
743.677795,6.353333
743.750576,6.486667
743.823329,6.153333
743.896054,6.086667
743.968751,5.620000
744.041420,4.953333
744.114061,5.620000
744.186674,5.620000
744.259259,4.953333
744.331816,4.086667
744.404346,3.953333
744.476847,4.753333
744.549320,4.820000
744.621766,5.420000
744.694183,5.020000
744.766573,5.420000
744.838934,5.153333
744.911268,6.153333
744.983574,6.020000
745.055851,5.953333
745.128101,5.286667
745.200323,4.820000
745.272517,4.353333
745.344683,4.553333
745.416820,5.153333
745.488930,5.753333
745.561012,5.420000
745.633066,5.553333
745.705092,5.486667
745.777090,6.220000
745.849061,5.753333
745.921003,5.953333
745.992917,5.086667
746.064803,4.686667
746.136661,4.420000
746.208491,5.886667
746.280294,6.286667
746.352068,6.953333
746.423814,6.220000
746.495532,6.220000
746.567223,5.286667
746.638885,4.753333
746.710519,4.353333
746.782126,5.086667
746.853704,5.220000
746.925254,6.353333
746.996777,5.420000
747.068271,5.086667
747.139737,4.486667
747.211176,4.820000
747.282586,5.686667
747.353968,6.220000
747.425323,7.153333
747.496649,5.753333
747.567947,4.686667
747.639218,3.420000
747.710460,4.620000
747.781675,5.020000
747.852861,6.286667
747.924019,5.620000
747.995149,5.620000
748.066252,4.486667
748.137326,4.620000
748.208372,4.820000
748.279391,5.353333
748.350381,5.153333
748.421343,4.420000
748.492277,4.820000
748.563183,4.820000
748.634062,5.486667
748.704912,4.353333
748.775734,5.020000
748.846528,5.153333
748.917294,5.753333
748.988032,5.420000
749.058742,5.020000
749.129424,5.420000
749.200078,5.020000
749.270704,5.020000
749.341302,4.620000
749.411872,4.553333
749.482413,5.020000
749.552927,4.953333
749.623413,5.353333
749.693871,4.686667
749.764300,4.620000
749.834702,5.020000
749.905075,5.086667
