#18_run03.txt
#Wed, Mar 15, 2023, 3:39 PM
#WL (nm), Int (cts)
674.996352,21.730303
675.091533,21.584848
675.186688,21.693939
675.281816,21.766667
675.376916,21.512121
675.471990,21.457576
675.567037,21.293939
675.662057,21.584848
675.757051,21.584848
675.852017,21.657576
675.946956,21.566667
676.041869,21.566667
676.136754,21.530303
676.231613,21.330303
676.326444,21.112121
676.421249,21.348485
676.516027,21.203030
676.610778,21.403030
676.705502,21.257576
676.800199,21.239394
676.894869,21.093939
676.989513,21.112121
677.084129,21.203030
677.178718,21.021212
677.273281,20.839394
677.367816,21.021212
677.462325,20.984848
677.556807,21.112121
677.651261,21.148485
677.745689,21.239394
677.840090,21.221212
677.934464,21.312121
678.028811,21.057576
678.123131,20.875758
678.217424,21.112121
678.311690,21.075758
678.405930,20.821212
678.500142,20.893939
678.594327,21.003030
678.688486,21.003030
678.782617,21.112121
678.876722,20.839394
678.970799,20.948485
679.064850,21.075758
679.158873,21.184848
679.252870,21.203030
679.346840,21.093939
679.440783,21.057576
679.534698,21.330303
679.628587,21.148485
679.722449,21.039394
679.816284,20.984848
679.910092,21.221212
680.003873,20.966667
680.097627,21.039394
680.191354,21.112121
680.285054,20.730303
680.378727,21.166667
680.472373,21.239394
680.565993,20.966667
680.659585,20.948485
680.753150,20.966667
680.846688,20.784848
680.940199,20.803030
681.033684,21.021212
681.127141,20.912121
681.220571,20.748485
681.313975,20.893939
681.407351,20.912121
681.500700,21.093939
681.594023,21.239394
681.687318,21.603030
681.780587,21.548485
681.873828,21.584848
681.967042,21.275758
682.060230,21.221212
682.153390,21.148485
682.246524,21.148485
682.339630,21.239394
682.432710,21.239394
682.525762,20.984848
682.618788,20.784848
682.711786,20.639394
682.804757,20.475758
682.897702,20.493939
682.990619,20.821212
683.083510,20.693939
683.176373,20.930303
683.269210,20.657576
683.362019,20.512121
683.454801,20.275758
683.547557,20.275758
683.640285,20.130303
683.732986,19.948485
683.825661,20.039394
683.918308,19.912121
684.010928,19.821212
684.103522,19.784848
684.196088,19.784848
684.288627,19.857576
684.381139,19.839394
684.473624,19.893939
684.566082,19.948485
684.658514,19.912121
684.750918,19.784848
684.843295,19.948485
684.935645,20.075758
685.027968,20.003030
685.120264,20.093939
685.212533,19.948485
685.304774,20.184848
685.396989,20.275758
685.489177,20.348485
685.581338,20.348485
685.673471,20.784848
685.765578,20.912121
685.857658,20.948485
685.949710,20.984848
686.041736,21.221212
686.133734,21.421212
686.225706,21.748485
686.317650,22.166667
686.409567,22.930303
686.501458,23.457576
686.593321,24.184848
686.685157,24.621212
686.776966,25.603030
686.868748,26.512121
686.960503,27.312121
687.052231,28.130303
687.143932,28.712121
687.235606,29.312121
687.327252,29.548485
687.418872,29.493939
687.510465,29.584848
687.602030,29.366667
687.693569,29.203030
687.785080,28.748485
687.876564,27.984848
687.968021,27.239394
688.059452,26.348485
688.150855,25.821212
688.242231,25.275758
688.333580,24.693939
688.424901,24.203030
688.516196,23.457576
688.607464,22.912121
688.698704,22.403030
688.789918,21.712121
688.881104,21.512121
688.972264,21.184848
689.063396,21.075758
689.154501,20.803030
689.245579,20.148485
689.336630,19.948485
689.427654,19.603030
689.518651,19.566667
689.609620,19.312121
689.700563,19.075758
689.791478,18.893939
689.882367,18.639394
689.973228,18.948485
690.064062,19.057576
690.154869,18.912121
690.245649,19.221212
690.336402,19.330303
690.427128,19.803030
690.517826,19.857576
690.608498,20.021212
690.699142,19.948485
690.789759,20.184848
690.880350,20.384848
690.970913,20.148485
691.061449,19.875758
691.151957,19.821212
691.242439,19.693939
691.332894,19.457576
691.423321,19.330303
691.513721,19.439394
691.604095,19.657576
691.694441,20.366667
691.784760,21.057576
691.875051,22.221212
691.965316,23.984848
692.055554,27.130303
692.145764,31.475758
692.235947,36.439394
692.326104,41.693939
692.416233,46.403030
692.506334,50.148485
692.596409,53.257576
692.686457,55.039394
692.776477,56.766667
692.866471,57.821212
692.956437,58.184848
693.046376,57.639394
693.136288,56.075758
693.226172,54.330303
693.316030,53.057576
693.405860,53.184848
693.495664,55.493939
693.585440,60.148485
693.675189,66.457576
693.764911,73.312121
693.854605,79.275758
693.944273,83.966667
694.033913,86.512121
694.123526,87.312121
694.213112,86.603030
694.302671,84.675758
694.392203,80.875758
694.481707,75.475758
694.571185,68.112121
694.660635,59.948485
694.750058,51.203030
694.839454,43.275758
694.928822,36.803030
695.018164,31.930303
695.107478,28.548485
695.196765,25.948485
695.286025,23.893939
695.375258,22.693939
695.464464,21.675758
695.553642,20.803030
695.642793,20.203030
695.731918,19.312121
695.821014,18.912121
695.910084,18.384848
695.999127,17.966667
696.088142,17.657576
696.177130,17.566667
696.266091,17.439394
696.355025,17.257576
696.443931,17.384848
696.532811,17.348485
696.621663,17.039394
696.710488,16.948485
696.799286,16.857576
696.888056,16.730303
696.976799,16.512121
697.065516,16.512121
697.154205,16.403030
697.242866,16.330303
697.331501,16.057576
697.420108,15.693939
697.508688,15.566667
697.597241,15.584848
697.685767,15.512121
697.774265,15.530303
697.862737,15.566667
697.951181,15.675758
698.039598,15.730303
698.127987,15.639394
698.216350,15.657576
698.304685,15.839394
698.392993,15.675758
698.481274,15.675758
698.569527,15.584848
698.657753,15.639394
698.745953,15.457576
698.834124,15.348485
698.922269,15.039394
699.010386,14.893939
699.098477,14.984848
699.186539,14.730303
699.274575,14.603030
699.362584,14.784848
699.450565,14.675758
699.538519,14.730303
699.626445,14.621212
699.714345,14.548485
699.802217,14.530303
699.890062,14.784848
699.977880,14.693939
700.065671,14.766667
700.153434,14.984848
700.241170,14.930303
700.328879,14.748485
700.416560,14.803030
700.504214,14.766667
700.591841,14.948485
700.679441,14.766667
700.767014,14.839394
700.854559,14.639394
700.942077,14.730303
701.029568,14.548485
701.117031,14.457576
701.204467,14.421212
701.291876,14.603030
701.379258,14.712121
701.466612,14.803030
701.553939,14.839394
701.641239,14.893939
701.728512,14.984848
701.815757,15.275758
701.902975,15.166667
701.990166,15.203030
702.077330,15.148485
702.164466,15.493939
702.251575,15.603030
702.338657,15.603030
702.425711,15.748485
702.512738,15.893939
702.599738,15.857576
