# T(K)        R1(nm)
1.333333333333332860e+01 6.933934426229508290e+02
1.888888888888888573e+01 6.933978142076502991e+02
2.333333333333333215e+01 6.934021857923496555e+02
2.777777777777777857e+01 6.934054644808743433e+02
3.666666666666666430e+01 6.934054644808743433e+02
5.000000000000000000e+01 6.934087431693989174e+02
5.666666666666666430e+01 6.934021857923496555e+02
7.166666666666667140e+01 6.933967213114754031e+02
8.611111111111111427e+01 6.934076502732240215e+02
1.094444444444444571e+02 6.934032786885245514e+02
1.322222222222222285e+02 6.934251366120217881e+02
1.572222222222222285e+02 6.934710382513661671e+02
1.800000000000000000e+02 6.935114754098360663e+02
2.061111111111111143e+02 6.935639344262294799e+02
2.272222222222222285e+02 6.936229508196721554e+02
2.494444444444444571e+02 6.936841530054645091e+02
2.727777777777778283e+02 6.937540983606558029e+02
2.955555555555555429e+02 6.938229508196722009e+02
