# T(K)        R1(nm)
12.643678160919539  693.3891304347826
18.39080459770115   693.4
22.988505747126435  693.408695652174
27.01149425287356   693.4130434782609
36.206896551724135  693.4130434782609
50                  693.4173913043478
56.32183908045977   693.408695652174
71.83908045977012   693.3978260869565
86.7816091954023    693.4173913043478
109.77011494252874  693.4065217391304
132.183908045977    693.45
158.04597701149424  693.5413043478261
181.03448275862067  693.6195652173914
207.47126436781608  693.7195652173914
229.3103448275862   693.8326086956522
251.1494252873563   693.9521739130436
275.28735632183907  694.0913043478262
298.2758620689655   694.2239130434784
