#RT_in.txt
#Tue, Mar 21, 2023, 6:30 PM
#WL (nm), Int (cts)
674.996352,19.266667
675.091533,19.266667
675.186688,19.391667
675.281816,19.516667
675.376916,19.600000
675.471990,19.516667
675.567037,19.766667
675.662057,20.016667
675.757051,20.016667
675.852017,19.641667
675.946956,20.183333
676.041869,20.266667
676.136754,20.475000
676.231613,19.975000
676.326444,19.975000
676.421249,19.600000
676.516027,19.308333
676.610778,19.183333
676.705502,19.641667
676.800199,19.183333
676.894869,19.641667
676.989513,19.391667
677.084129,19.766667
677.178718,18.475000
677.273281,18.100000
677.367816,17.891667
677.462325,18.058333
677.556807,18.266667
677.651261,17.975000
677.745689,18.600000
677.840090,18.350000
677.934464,18.558333
678.028811,18.100000
678.123131,18.266667
678.217424,18.225000
678.311690,18.183333
678.405930,17.225000
678.500142,17.475000
678.594327,17.100000
678.688486,17.808333
678.782617,17.558333
678.876722,17.766667
678.970799,17.516667
679.064850,16.850000
679.158873,17.141667
679.252870,16.766667
679.346840,17.516667
679.440783,16.350000
679.534698,17.058333
679.628587,16.683333
679.722449,17.058333
679.816284,17.058333
679.910092,16.683333
680.003873,17.058333
680.097627,16.683333
680.191354,17.183333
680.285054,17.683333
680.378727,17.766667
680.472373,17.391667
680.565993,17.308333
680.659585,17.183333
680.753150,17.308333
680.846688,16.766667
680.940199,16.600000
681.033684,16.850000
681.127141,17.058333
681.220571,17.058333
681.313975,16.641667
681.407351,16.433333
681.500700,15.766667
681.594023,15.808333
681.687318,15.933333
681.780587,16.266667
681.873828,16.641667
681.967042,18.183333
682.060230,18.058333
682.153390,17.266667
682.246524,16.058333
682.339630,15.850000
682.432710,16.183333
682.525762,15.683333
682.618788,15.933333
682.711786,15.975000
682.804757,15.558333
682.897702,15.933333
682.990619,16.141667
683.083510,16.475000
683.176373,15.600000
683.269210,15.141667
683.362019,15.016667
683.454801,15.725000
683.547557,15.391667
683.640285,15.933333
683.732986,15.350000
683.825661,15.433333
683.918308,14.975000
684.010928,15.433333
684.103522,16.100000
684.196088,15.975000
684.288627,16.266667
684.381139,15.683333
684.473624,16.058333
684.566082,16.016667
684.658514,16.183333
684.750918,15.683333
684.843295,15.433333
684.935645,15.141667
685.027968,14.850000
685.120264,14.433333
685.212533,14.766667
685.304774,14.933333
685.396989,15.141667
685.489177,14.725000
685.581338,14.391667
685.673471,14.475000
685.765578,14.475000
685.857658,14.808333
685.949710,13.850000
686.041736,13.475000
686.133734,12.975000
686.225706,13.641667
686.317650,14.058333
686.409567,13.641667
686.501458,13.891667
686.593321,13.600000
686.685157,14.183333
686.776966,14.058333
686.868748,14.516667
686.960503,14.475000
687.052231,14.100000
687.143932,14.100000
687.235606,14.266667
687.327252,14.850000
687.418872,14.975000
687.510465,14.975000
687.602030,14.266667
687.693569,13.933333
687.785080,13.641667
687.876564,14.183333
