#RT_out.txt
#Tue, Mar 21, 2023, 6:22 PM
#WL (nm), Int (cts)
674.996352,12.377083
675.091533,12.877083
675.186688,13.043750
675.281816,13.085417
675.376916,12.752083
675.471990,13.043750
675.567037,13.293750
675.662057,13.793750
675.757051,13.710417
675.852017,13.710417
675.946956,13.210417
676.041869,13.335417
676.136754,13.252083
676.231613,13.668750
676.326444,13.793750
676.421249,14.002083
676.516027,13.877083
676.610778,13.460417
676.705502,13.543750
676.800199,13.835417
676.894869,13.377083
676.989513,13.043750
677.084129,12.293750
677.178718,13.210417
677.273281,13.335417
677.367816,14.002083
677.462325,13.668750
677.556807,13.043750
677.651261,12.252083
677.745689,12.127083
677.840090,12.210417
677.934464,12.085417
678.028811,12.043750
678.123131,12.043750
678.217424,12.627083
678.311690,12.752083
678.405930,13.002083
678.500142,12.835417
678.594327,12.252083
678.688486,11.752083
678.782617,11.543750
678.876722,11.752083
678.970799,11.460417
679.064850,11.710417
679.158873,11.835417
679.252870,12.460417
679.346840,11.710417
679.440783,11.752083
679.534698,11.668750
679.628587,12.252083
679.722449,12.002083
679.816284,12.377083
679.910092,12.793750
680.003873,13.127083
680.097627,12.418750
680.191354,11.835417
680.285054,11.668750
680.378727,12.002083
680.472373,12.335417
680.565993,12.835417
680.659585,13.043750
680.753150,12.585417
680.846688,11.960417
680.940199,12.002083
681.033684,12.377083
681.127141,12.377083
681.220571,11.543750
681.313975,11.752083
681.407351,11.960417
681.500700,12.502083
681.594023,11.793750
681.687318,11.585417
681.780587,11.210417
681.873828,11.043750
681.967042,12.377083
682.060230,12.668750
682.153390,12.585417
682.246524,11.210417
682.339630,10.918750
682.432710,11.002083
682.525762,11.252083
682.618788,11.502083
682.711786,11.252083
682.804757,11.168750
682.897702,11.002083
682.990619,11.460417
683.083510,10.877083
683.176373,11.002083
683.269210,10.960417
683.362019,10.918750
683.454801,11.002083
683.547557,10.793750
683.640285,11.085417
683.732986,10.377083
683.825661,11.085417
683.918308,10.585417
684.010928,10.960417
684.103522,10.043750
684.196088,10.543750
684.288627,10.293750
684.381139,10.918750
684.473624,10.960417
684.566082,11.502083
684.658514,11.127083
684.750918,10.543750
684.843295,10.418750
684.935645,10.335417
685.027968,10.543750
685.120264,10.460417
685.212533,10.835417
685.304774,10.627083
685.396989,10.210417
685.489177,10.043750
685.581338,10.168750
685.673471,10.085417
685.765578,10.085417
685.857658,10.127083
685.949710,10.168750
686.041736,10.127083
686.133734,9.918750
686.225706,10.502083
686.317650,10.043750
686.409567,10.043750
686.501458,9.460417
686.593321,9.877083
686.685157,9.793750
686.776966,9.377083
686.868748,9.752083
686.960503,10.002083
687.052231,10.918750
687.143932,10.502083
687.235606,10.585417
687.327252,10.293750
687.418872,10.043750
687.510465,10.460417
687.602030,10.335417
687.693569,10.710417
687.785080,10.252083
687.876564,11.502083
687.968021,11.043750
688.059452,11.127083
688.150855,10.252083
688.242231,10.418750
688.333580,10.710417
688.424901,10.377083
688.516196,10.877083
688.607464,11.252083
688.698704,11.585417
