#23Mar_BT_in.txt
#Thu, Mar 23, 2023, 11:27 AM
#WL (nm), Int (cts)
674.996352,7.222917
675.091533,7.681250
675.186688,8.056250
675.281816,7.306250
675.376916,7.347917
675.471990,7.181250
675.567037,8.056250
675.662057,8.181250
675.757051,8.181250
675.852017,8.097917
675.946956,8.222917
676.041869,7.681250
676.136754,7.222917
676.231613,6.847917
676.326444,7.264583
676.421249,7.639583
676.516027,7.181250
676.610778,6.722917
676.705502,6.764583
676.800199,7.264583
676.894869,7.222917
676.989513,6.556250
677.084129,6.764583
677.178718,7.014583
677.273281,7.931250
677.367816,7.597917
677.462325,7.347917
677.556807,6.764583
677.651261,7.431250
677.745689,7.556250
677.840090,7.347917
677.934464,7.056250
678.028811,6.722917
678.123131,6.597917
678.217424,6.681250
678.311690,7.306250
678.405930,7.889583
678.500142,7.847917
678.594327,7.847917
678.688486,7.889583
678.782617,7.889583
678.876722,8.556250
678.970799,8.764583
679.064850,8.597917
679.158873,7.306250
679.252870,6.847917
679.346840,6.431250
679.440783,7.014583
679.534698,6.889583
679.628587,7.306250
679.722449,7.181250
679.816284,7.931250
679.910092,8.556250
680.003873,8.931250
680.097627,8.556250
680.191354,8.139583
680.285054,7.556250
680.378727,7.306250
680.472373,7.389583
680.565993,7.972917
680.659585,7.847917
680.753150,8.056250
680.846688,7.764583
680.940199,7.889583
681.033684,7.597917
681.127141,7.097917
681.220571,7.597917
681.313975,7.472917
681.407351,7.972917
681.500700,7.597917
681.594023,7.306250
681.687318,7.139583
681.780587,7.139583
681.873828,7.431250
681.967042,8.764583
682.060230,8.722917
682.153390,8.222917
682.246524,6.972917
682.339630,6.514583
682.432710,6.722917
682.525762,6.347917
682.618788,6.597917
682.711786,6.722917
682.804757,7.097917
682.897702,6.639583
682.990619,6.597917
683.083510,7.014583
683.176373,7.639583
683.269210,7.597917
683.362019,7.014583
683.454801,7.056250
683.547557,7.097917
683.640285,7.181250
683.732986,7.014583
683.825661,6.847917
683.918308,7.139583
684.010928,6.681250
684.103522,7.014583
684.196088,6.514583
684.288627,7.222917
684.381139,7.139583
684.473624,7.264583
684.566082,7.389583
684.658514,7.347917
684.750918,7.847917
684.843295,7.472917
684.935645,7.597917
685.027968,7.431250
685.120264,8.014583
685.212533,7.472917
685.304774,7.514583
685.396989,6.931250
685.489177,7.139583
685.581338,7.181250
685.673471,7.306250
685.765578,8.139583
685.857658,7.972917
685.949710,7.972917
686.041736,7.056250
686.133734,6.972917
686.225706,7.472917
686.317650,7.931250
686.409567,8.389583
686.501458,8.264583
686.593321,8.389583
686.685157,8.847917
686.776966,8.847917
686.868748,9.597917
686.960503,10.306250
687.052231,10.931250
687.143932,11.139583
687.235606,10.556250
687.327252,11.181250
687.418872,11.931250
687.510465,11.931250
687.602030,12.597917
687.693569,11.931250
687.785080,12.514583
687.876564,11.306250
687.968021,11.181250
688.059452,10.639583
688.150855,10.931250
688.242231,9.847917
688.333580,9.431250
688.424901,8.681250
688.516196,8.764583
688.607464,8.514583
688.698704,7.472917
688.789918,7.972917
688.881104,7.681250
688.972264,7.722917
689.063396,6.931250
