#23Mar_BT_out.txt
#Thu, Mar 23, 2023, 11:27 AM
#WL (nm), Int (cts)
674.996352,3.084375
675.091533,3.417708
675.186688,4.126042
675.281816,4.126042
675.376916,3.876042
675.471990,3.751042
675.567037,3.876042
675.662057,4.667708
675.757051,4.959375
675.852017,4.251042
675.946956,3.209375
676.041869,3.251042
676.136754,3.626042
676.231613,3.542708
676.326444,3.459375
676.421249,3.417708
676.516027,3.501042
676.610778,4.167708
676.705502,4.417708
676.800199,4.376042
676.894869,3.292708
676.989513,3.417708
677.084129,3.584375
677.178718,3.542708
677.273281,3.376042
677.367816,3.542708
677.462325,4.376042
677.556807,4.334375
677.651261,4.167708
677.745689,3.417708
677.840090,3.459375
677.934464,3.959375
678.028811,4.501042
678.123131,4.542708
678.217424,4.459375
678.311690,4.376042
678.405930,4.042708
678.500142,4.292708
678.594327,4.459375
678.688486,4.542708
678.782617,4.376042
678.876722,4.709375
678.970799,4.917708
679.064850,4.751042
679.158873,4.376042
679.252870,4.001042
679.346840,4.334375
679.440783,4.167708
679.534698,4.792708
679.628587,4.876042
679.722449,4.501042
679.816284,4.126042
679.910092,3.792708
680.003873,4.126042
680.097627,4.709375
680.191354,4.667708
680.285054,4.917708
680.378727,4.667708
680.472373,4.709375
680.565993,4.584375
680.659585,4.376042
680.753150,4.709375
680.846688,4.626042
680.940199,5.042708
681.033684,5.084375
681.127141,4.834375
681.220571,4.501042
681.313975,4.251042
681.407351,4.626042
681.500700,4.251042
681.594023,3.959375
681.687318,4.209375
681.780587,4.542708
681.873828,4.626042
681.967042,5.584375
682.060230,5.542708
682.153390,5.501042
682.246524,4.042708
682.339630,3.626042
682.432710,3.167708
682.525762,3.001042
682.618788,3.959375
682.711786,4.417708
682.804757,5.209375
682.897702,4.834375
682.990619,5.167708
683.083510,4.584375
683.176373,4.084375
683.269210,3.959375
683.362019,3.667708
683.454801,3.792708
683.547557,3.084375
683.640285,3.292708
683.732986,3.626042
683.825661,4.292708
683.918308,4.417708
684.010928,4.751042
684.103522,4.376042
684.196088,4.126042
684.288627,3.751042
684.381139,4.376042
684.473624,4.376042
684.566082,4.501042
684.658514,3.709375
684.750918,4.292708
684.843295,4.334375
684.935645,5.376042
685.027968,4.626042
685.120264,4.501042
685.212533,4.376042
685.304774,5.167708
685.396989,4.834375
685.489177,4.626042
685.581338,4.667708
685.673471,5.126042
685.765578,4.959375
685.857658,4.626042
685.949710,4.542708
686.041736,4.584375
686.133734,4.376042
686.225706,4.626042
686.317650,4.459375
686.409567,4.376042
686.501458,4.709375
686.593321,5.042708
686.685157,6.084375
686.776966,6.334375
686.868748,7.042708
686.960503,7.042708
687.052231,7.042708
687.143932,7.376042
687.235606,7.626042
687.327252,8.334375
687.418872,8.376042
687.510465,9.042708
687.602030,8.792708
687.693569,9.251042
687.785080,8.917708
687.876564,8.917708
687.968021,7.959375
688.059452,7.042708
688.150855,6.959375
688.242231,7.084375
688.333580,7.417708
688.424901,6.334375
688.516196,5.501042
688.607464,5.167708
688.698704,5.292708
688.789918,5.584375
688.881104,5.167708
688.972264,4.751042
689.063396,4.459375
689.154501,4.584375
689.245579,5.042708
689.336630,4.626042
689.427654,4.334375
689.518651,3.876042
689.609620,4.209375
689.700563,4.084375
689.791478,4.376042
689.882367,4.042708
689.973228,4.751042
690.064062,4.334375
690.154869,4.626042
690.245649,4.167708
690.336402,4.834375
690.427128,5.042708
690.517826,4.751042
690.608498,4.584375
690.699142,4.751042
690.789759,5.334375
690.880350,4.876042
690.970913,4.751042
691.061449,4.126042
691.151957,4.334375
691.242439,4.626042
691.332894,5.126042
691.423321,6.167708
691.513721,7.876042
691.604095,12.626042
691.694441,19.334375
691.784760,28.001042
691.875051,34.501042
691.965316,34.834375
692.055554,28.667708
692.145764,19.501042
692.235947,12.709375
692.326104,8.917708
692.416233,7.001042
692.506334,6.126042
692.596409,5.917708
692.686457,7.084375
692.776477,10.459375
692.866471,18.751042
692.956437,37.667708
693.046376,71.584375
693.136288,115.376042
693.226172,153.126042
693.316030,164.042708
693.405860,147.667708
693.495664,111.876042
693.585440,76.876042
693.675189,47.667708
693.764911,30.917708
693.854605,21.209375
693.944273,16.084375
694.033913,12.042708
694.123526,9.209375
694.213112,7.542708
694.302671,6.542708
694.392203,6.001042
694.481707,5.376042
694.571185,5.209375
694.660635,5.459375
694.750058,5.709375
694.839454,4.876042
694.928822,4.126042
695.018164,4.042708
695.107478,4.292708
695.196765,3.917708
695.286025,3.709375
695.375258,4.042708
695.464464,4.251042
695.553642,3.792708
695.642793,3.417708
695.731918,3.167708
695.821014,3.167708
695.910084,2.959375
695.999127,3.292708
696.088142,3.959375
696.177130,3.959375
696.266091,3.584375
696.355025,2.834375
696.443931,3.376042
696.532811,2.876042
696.621663,3.292708
696.710488,3.001042
696.799286,3.626042
696.888056,3.542708
696.976799,3.459375
697.065516,3.542708
697.154205,3.167708
697.242866,2.917708
697.331501,2.459375
697.420108,3.001042
697.508688,3.459375
697.597241,4.251042
697.685767,4.209375
697.774265,3.959375
697.862737,3.584375
697.951181,3.292708
698.039598,3.209375
698.127987,2.834375
698.216350,2.917708
698.304685,3.126042
698.392993,3.709375
698.481274,4.876042
698.569527,5.917708
698.657753,7.084375
698.745953,7.501042
698.834124,7.501042
698.922269,6.584375
699.010386,5.709375
699.098477,5.167708
699.186539,5.167708
699.274575,4.626042
699.362584,4.501042
699.450565,4.251042
699.538519,4.334375
699.626445,3.876042
699.714345,4.001042
699.802217,4.417708
699.890062,4.959375
699.977880,5.251042
700.065671,5.417708
700.153434,6.292708
700.241170,6.792708
700.328879,7.709375
700.416560,9.751042
700.504214,13.792708
700.591841,19.751042
700.679441,25.876042
700.767014,30.084375
700.854559,30.126042
700.942077,25.709375
701.029568,19.876042
701.117031,14.042708
701.204467,10.042708
701.291876,6.667708
701.379258,5.084375
701.466612,3.251042
701.553939,3.209375
701.641239,3.376042
701.728512,3.834375
701.815757,3.334375
701.902975,2.751042
701.990166,3.001042
702.077330,3.251042
702.164466,3.501042
702.251575,3.376042
702.338657,3.959375
702.425711,3.751042
702.512738,4.084375
702.599738,4.251042
702.686710,4.584375
702.773656,4.417708
702.860574,4.292708
702.947464,4.167708
703.034328,4.667708
703.121164,4.459375
703.207973,5.251042
703.294754,5.459375
703.381509,6.167708
703.468235,6.834375
703.554935,8.626042
703.641607,9.709375
703.728253,10.376042
703.814870,11.417708
703.901461,12.209375
703.988024,12.417708
704.074560,11.251042
704.161068,9.917708
704.247549,8.709375
704.334003,7.542708
704.420430,7.376042
704.506829,7.751042
704.593201,7.126042
704.679546,7.042708
704.765863,6.542708
704.852153,6.667708
704.938416,5.959375
705.024652,6.001042
705.110860,6.167708
705.197040,7.459375
705.283194,7.834375
705.369320,8.876042
705.455419,9.167708
705.541490,10.459375
705.627534,11.584375
705.713551,11.751042
705.799541,11.834375
705.885503,10.917708
705.971438,11.334375
706.057345,12.292708
706.143225,13.751042
706.229078,14.959375
706.314904,15.126042
706.400702,16.084375
706.486473,17.167708
706.572216,18.334375
706.657932,18.959375
706.743621,19.584375
706.829282,19.542708
706.914917,19.834375
707.000523,20.001042
707.086103,20.501042
707.171655,20.584375
707.257179,19.667708
707.342677,19.126042
707.428147,17.376042
707.513589,16.292708
707.599005,14.876042
707.684393,14.126042
707.769753,13.584375
707.855086,12.792708
707.940392,11.542708
708.025671,10.584375
708.110922,9.751042
708.196146,10.334375
708.281342,10.209375
708.366511,11.542708
708.451653,12.917708
708.536767,15.501042
708.621854,17.959375
708.706913,21.376042
708.791946,24.167708
708.876950,26.917708
708.961928,27.126042
709.046878,26.917708
709.131800,25.792708
709.216696,24.959375
709.301564,23.334375
709.386404,20.376042
709.471217,17.084375
709.556003,14.209375
709.640761,11.751042
709.725492,10.001042
709.810196,8.126042
709.894872,7.542708
709.979521,6.834375
710.064142,6.251042
710.148736,5.626042
710.233303,5.292708
710.317842,5.542708
710.402354,6.084375
710.486838,6.334375
710.571295,6.126042
710.655725,5.334375
