#BT_in.txt
#Wed, Mar 22, 2023, 2:13 PM
#WL (nm), Int (cts)
674.996352,5.158333
675.091533,5.825000
675.186688,6.366667
675.281816,6.408333
675.376916,5.866667
675.471990,5.950000
675.567037,6.366667
675.662057,6.241667
675.757051,6.283333
675.852017,5.491667
675.946956,5.533333
676.041869,5.533333
676.136754,6.200000
676.231613,6.491667
676.326444,6.366667
676.421249,6.075000
676.516027,6.158333
676.610778,6.450000
676.705502,6.158333
676.800199,5.991667
676.894869,5.575000
676.989513,5.825000
677.084129,5.366667
677.178718,6.033333
677.273281,6.116667
677.367816,6.450000
677.462325,5.825000
677.556807,5.491667
677.651261,5.491667
677.745689,5.450000
677.840090,6.200000
677.934464,5.866667
678.028811,5.991667
678.123131,5.658333
678.217424,6.200000
678.311690,5.741667
678.405930,5.325000
678.500142,5.658333
678.594327,5.533333
678.688486,6.283333
678.782617,5.158333
678.876722,5.991667
678.970799,5.325000
679.064850,5.991667
679.158873,5.366667
679.252870,4.825000
679.346840,4.700000
679.440783,4.658333
679.534698,5.741667
679.628587,5.283333
679.722449,6.075000
679.816284,5.158333
679.910092,5.908333
680.003873,5.575000
680.097627,5.700000
680.191354,5.533333
680.285054,5.075000
680.378727,5.408333
680.472373,5.866667
680.565993,6.700000
680.659585,6.700000
680.753150,6.575000
680.846688,5.741667
680.940199,5.658333
681.033684,5.033333
681.127141,5.491667
681.220571,5.116667
681.313975,5.325000
681.407351,5.575000
681.500700,5.825000
681.594023,5.866667
681.687318,4.908333
681.780587,5.366667
681.873828,4.908333
681.967042,6.825000
682.060230,6.491667
682.153390,5.991667
682.246524,4.908333
682.339630,4.866667
682.432710,5.700000
682.525762,5.283333
682.618788,5.616667
682.711786,5.700000
682.804757,5.825000
682.897702,5.783333
682.990619,5.616667
683.083510,5.700000
683.176373,5.616667
683.269210,6.116667
683.362019,5.658333
683.454801,5.783333
683.547557,5.366667
683.640285,5.658333
683.732986,5.033333
683.825661,4.741667
