#BT_out.txt
#Wed, Mar 22, 2023, 2:42 PM
#WL (nm), Int (cts)
674.996352,2.094792
675.091533,2.511458
675.186688,2.344792
675.281816,2.303125
675.376916,1.803125
675.471990,1.969792
675.567037,2.303125
675.662057,3.136458
675.757051,2.719792
675.852017,2.344792
675.946956,1.761458
676.041869,2.178125
676.136754,2.178125
676.231613,1.803125
676.326444,1.886458
676.421249,2.178125
676.516027,2.511458
676.610778,2.886458
676.705502,2.761458
676.800199,3.094792
676.894869,2.636458
676.989513,3.053125
677.084129,2.636458
677.178718,2.928125
677.273281,2.219792
677.367816,2.719792
677.462325,1.969792
677.556807,2.136458
677.651261,1.344792
677.745689,2.053125
677.840090,2.386458
677.934464,3.011458
678.028811,2.636458
678.123131,2.386458
678.217424,2.553125
678.311690,3.053125
678.405930,2.553125
678.500142,1.928125
678.594327,1.261458
678.688486,2.053125
678.782617,1.928125
678.876722,1.761458
678.970799,1.678125
679.064850,2.219792
679.158873,2.803125
679.252870,2.053125
679.346840,1.844792
679.440783,1.511458
679.534698,2.094792
679.628587,2.261458
679.722449,2.469792
679.816284,2.844792
679.910092,3.344792
680.003873,2.844792
680.097627,3.011458
680.191354,2.678125
680.285054,3.344792
680.378727,2.511458
680.472373,2.553125
680.565993,2.053125
680.659585,2.344792
680.753150,1.969792
680.846688,2.344792
680.940199,3.136458
681.033684,3.261458
681.127141,3.219792
681.220571,2.053125
681.313975,2.011458
681.407351,1.636458
681.500700,1.344792
681.594023,1.511458
681.687318,1.511458
681.780587,2.469792
681.873828,2.511458
681.967042,4.344792
682.060230,4.011458
682.153390,3.803125
682.246524,2.094792
682.339630,2.011458
682.432710,1.428125
682.525762,1.594792
682.618788,1.511458
682.711786,1.636458
682.804757,1.594792
682.897702,1.719792
682.990619,2.511458
683.083510,2.594792
683.176373,2.303125
683.269210,2.053125
683.362019,2.344792
683.454801,2.261458
683.547557,2.219792
683.640285,2.386458
683.732986,2.844792
683.825661,2.803125
683.918308,2.053125
684.010928,1.719792
684.103522,1.053125
684.196088,1.136458
684.288627,1.594792
684.381139,2.136458
684.473624,2.094792
684.566082,1.678125
684.658514,1.719792
684.750918,1.344792
684.843295,1.678125
684.935645,1.011458
685.027968,1.886458
685.120264,1.803125
685.212533,2.636458
685.304774,1.886458
685.396989,2.136458
685.489177,2.094792
685.581338,2.303125
685.673471,1.886458
685.765578,1.678125
685.857658,1.636458
685.949710,1.969792
686.041736,2.261458
686.133734,2.219792
686.225706,2.386458
686.317650,2.178125
686.409567,2.428125
686.501458,2.094792
686.593321,1.428125
686.685157,1.386458
686.776966,1.844792
686.868748,2.469792
686.960503,2.261458
687.052231,2.094792
687.143932,2.136458
687.235606,2.803125
687.327252,2.803125
687.418872,2.844792
687.510465,2.803125
687.602030,2.594792
687.693569,3.094792
687.785080,2.844792
687.876564,2.719792
687.968021,2.219792
688.059452,2.011458
688.150855,2.261458
688.242231,1.803125
688.333580,2.303125
688.424901,2.136458
688.516196,3.136458
688.607464,3.386458
688.698704,3.511458
688.789918,3.011458
688.881104,2.886458
688.972264,3.303125
689.063396,3.344792
689.154501,3.136458
689.245579,2.428125
689.336630,2.969792
689.427654,3.094792
689.518651,3.928125
689.609620,3.094792
689.700563,3.553125
689.791478,3.428125
689.882367,4.094792
689.973228,3.594792
690.064062,4.178125
690.154869,4.928125
690.245649,5.178125
690.336402,4.928125
690.427128,4.761458
690.517826,5.844792
690.608498,6.136458
690.699142,6.886458
690.789759,7.053125
690.880350,7.469792
690.970913,7.178125
691.061449,7.219792
691.151957,8.553125
691.242439,9.594792
691.332894,10.761458
691.423321,11.886458
691.513721,17.719792
691.604095,29.719792
691.694441,47.594792
691.784760,65.844792
691.875051,76.636458
691.965316,74.469792
692.055554,61.261458
692.145764,43.719792
692.235947,30.761458
692.326104,22.928125
692.416233,19.844792
692.506334,18.428125
692.596409,20.053125
692.686457,25.303125
692.776477,41.969792
692.866471,90.636458
692.956437,216.094792
693.046376,430.719792
693.136288,678.261458
693.226172,861.761458
693.316030,903.344792
693.405860,791.469792
693.495664,581.719792
693.585440,364.469792
693.675189,208.344792
693.764911,122.261458
693.854605,76.053125
693.944273,50.553125
694.033913,33.886458
694.123526,25.303125
694.213112,20.011458
694.302671,18.136458
694.392203,16.011458
694.481707,14.969792
694.571185,13.219792
694.660635,12.553125
694.750058,12.011458
694.839454,11.011458
694.928822,10.678125
695.018164,9.428125
695.107478,9.511458
695.196765,8.761458
695.286025,9.053125
695.375258,8.386458
695.464464,8.261458
695.553642,7.969792
695.642793,7.344792
695.731918,7.178125
695.821014,6.261458
695.910084,6.761458
695.999127,5.636458
696.088142,5.844792
696.177130,5.219792
696.266091,5.386458
696.355025,5.011458
696.443931,4.511458
